theme_id,theme_type,theme_name,parent_theme_id,affected_dimension,bottleneck_status,mapping_track,cell_id,route_item_id,unmapped_reason,application_demand,required_metric,critical_node,limiting_factor,constrained_outcome,candidate_solution,progress_gap,feasibility,scarcity,substitutability
T001,limited_demand,AI集群800G光互连部署需求,,yield_capacity,candidate,canonical,MOD1,,,更大规模AI集群需要扩展高速互连,800G模块按客户部署节奏稳定交付,数通高速光模块量产,制造周期和供应链能力可能低于预测需求,部分部署收入确认与放量节奏受供给爬坡影响,扩充800G制造能力并完成客户认证,Cisco仅确认AI基础设施订单增长而未确认800G模块短缺；行业卡点仍待更多下游直接证据,partially_supported,company_claim_only,insufficient
T002,bottleneck,800G量产能力和制造周期,T001,yield_capacity,candidate,canonical,MOD1,,,,按部署节奏供给800G模块,模块量产与认证,产能上线后仍有制造周期及客户现场审核,收入兑现滞后且预测需求可能超过供给,产能扩张和工艺爬坡,仅AAOI直接称收入受产能与供应链限制；不能升级为行业普遍卡点,partially_supported,company_claim_only,insufficient
T003,solution,扩充800G模块制造能力并爬坡,T002,yield_capacity,solution_emerging,canonical,MOD1,,,,月产能与稳定交付,模块制造和客户认证,新增产线不能立即转为有效产出,收入兑现可能滞后于名义产能上线,美国与台湾扩产并推进批量交付,AAOI已有首次批量交付和产能数据；Fabrinet确认两个800G scale-out项目但未披露规模，客户采用证据仍不足,partially_supported,partially_supported,insufficient
T004,topic,高速可插拔光学新品发布,,power_thermal,not_applicable,canonical,MOD1,,,,可验证的同代际产品性能功耗与可靠性,高速可插拔光模块,公司发布信息缺少跨公司共同测试基准,不能跨代际比较1.6T OSFP与800G LPO,分别记录产品发布与阶段变化,Credo只把ZeroFlap产品族送样推进到800G 2xDR4单一SKU的GA；仍缺客户部署规模和同类共同测试基准,partially_supported,insufficient,insufficient
T005,topic,客户现场审核对产能转收入的滞后,,standards_compatibility_certification,candidate,unmapped,,,现有本体没有客户现场审核或资格流程节点,,,,,,,电话会提及审核但尚无第二家公司证据,company_claim_only,insufficient,insufficient
T006,limited_demand,800G与1.6T 2xFR4模块交付需求,,yield_capacity,candidate,canonical,C1,,,AI集群升级需要800G与1.6T 2xFR4模块,每只模块所需多颗高速激光器可稳定取得,激光器芯片供给,单模块需要四颗激光器且上游设备交期长,模块厂扩产仍可能受激光器取得速度限制,扩大InP激光器外延和芯片产能,仅AAOI一家在C级逐字稿中提出；800G与1.6T分别处于何种受限程度仍未知,company_claim_only,company_claim_only,insufficient
T007,bottleneck,高速InP激光器制造能力,T006,yield_capacity,candidate,canonical,C1,,,,按模块扩产节奏供应高速激光器,InP激光器芯片制造,晶圆与激光器有效产能不足；AAOI另称MOCVD设备积压,缺少激光器可能阻断模块组装,扩建内部InP激光器产能,AAOI、Lumentum与Coherent独立支持高速InP或EML有效产能偏紧，Fabrinet也把激光器列为主要短缺之一；仅AAOI提到MOCVD backlog,partially_supported,partially_supported,insufficient
T008,solution,扩建InP激光器外延与芯片产能,T007,yield_capacity,solution_emerging,canonical,M2a,,,,提高高速激光器有效产能,MOCVD外延与设备认证,设备到货和资格验证周期长,供给改善晚于名义设备安装,扩建内部InP fab并认证MOCVD等设备,Coherent称6英寸线三类器件良率高于3英寸并继续扩产；Lumentum新厂仍需约六季度，说明进展存在但尚未证明行业供给已缓解,partially_supported,company_claim_only,insufficient
T009,topic,Silicon One交换ASIC出货里程碑,,unknown,not_applicable,unmapped,,,交换ASIC不在当前光模块BOM,,,,,,,仅跟踪管理层承诺与兑现；不得映射到模块电芯片C5,verified,insufficient,insufficient
T010,topic,1.6T可插拔双架构演示与商业爬坡,,performance,solution_emerging,canonical,MOD1,RB006,,,以实时BER验证1.6T 2xDR4运行并观察客户出货,1.6T可插拔光模块,技术演示不等于批量采用且关键组件仍约束出货,商业放量可能低于需求,双架构演示并在FY26 Q4爬坡,Lumentum管理层只确认计划爬坡和组件约束；未确认博客展示的两种NVIDIA模块均已商业部署,partially_supported,company_claim_only,insufficient
T011,topic,4x400G EML演示与未来3.2T路径,,performance,not_applicable,unmapped,,,现有route_bom没有3.2T或400G每lane路线,,,,,,,仅有公司官网技术演示；电话会未提及该具体3.2T路径,company_claim_only,insufficient,insufficient
T012,topic,AI光学系统多维扩展约束,,unknown,candidate,unmapped,,,该表述同时覆盖带宽功耗散热可靠性制造与供应链多个维度，不能映射到单一节点,,,,,,,公司技术作者提出的问题框架尚未由管理层逐项确认,company_claim_only,insufficient,insufficient
T013,topic,CPO光源技术与商业化进度,T017,performance,solution_emerging,canonical,C1,,,,验证UHP外部光源功率可靠性并观察CPO收入,高功率激光器与外部光源,技术演示与客户收入之间仍有认证和量产环节,scale-out贡献仍较小且scale-up处于早期,展示UHP/SHP激光器并推进商业收入,Lumentum预计UHP CPO光源在2026年12月季度产生有意义收入；尚未证明规模化部署,partially_supported,company_claim_only,insufficient
