node_id,node_type,name_zh,name_en,definition,status,importance_class,importance_confidence,importance_basis,evidence_ids,as_of,notes
SN-APP-AI-DC-FABRIC,application,AI/超大规模数据中心短距互连,AI/hyperscale DC short-reach interconnect,数据中心叶脊与AI/GPU集群内需要≥800Gb/s、通常≤500m单模或并行光纤的可插拔光互连场景。,admitted,structural_critical,hypothesis,mandatory_for_route=DR8_primary;bottleneck=unknown;substitutability=low_vs_copper_at_reach;affects_key_process=n/a_bom_scope;basis=IEEE_802.3df_DR8_reach_and_use,,2026-07-24,驱动800G DR8；也可由2xFR4覆盖部分楼内更长链路;Codex集成：无canonical structure证据，verified降为hypothesis
SN-APP-CAMPUS-SMF,application,园区/楼宇单模互连,Campus/building SMF interconnect,园区或楼宇间约2km单模光纤上的高密度可插拔互连场景（双工光纤友好）。,admitted,structural_critical,hypothesis,mandatory_for_route=2xFR4_primary;bottleneck=unknown;substitutability=medium;affects_key_process=n/a_bom_scope;basis=IEEE_802.3cu_FR4_2km,,2026-07-24,驱动800G 2xFR4（2×400GBASE-FR4）;Codex集成：无canonical structure证据，verified降为hypothesis
SN-APP-DCI-METRO,application,数据中心互联/城域点对点DWDM,DCI/metro point-to-point DWDM,数据中心互联与城域放大或未放大点对点DWDM链路上的相干可插拔互连场景（典型≤约120km量级）。,admitted,structural_critical,hypothesis,mandatory_for_route=400ZR;bottleneck=unknown;substitutability=low_vs_grey_optics;affects_key_process=n/a_bom_scope;basis=OIF_400ZR_IA_applications,,2026-07-24,驱动400ZR；OpenZR+/800ZR不在本轮MVP范围;Codex集成：无canonical structure证据，verified降为hypothesis
SN-ROUTE-800G-DR8,product_route,800G DR8可插拔直检模块,800G DR8 pluggable direct-detect,对应IEEE 800GBASE-DR8：8路×约106.25GBd PAM4、1310nm并行单模、典型≤500m、MPO类并行光口的可插拔直检模块路线。,admitted,structural_critical,hypothesis,mandatory_for_route=yes;bottleneck=unknown;substitutability=n/a;affects_key_process=n/a;basis=IEEE_802.3df_TIA_FOTC,,2026-07-24,直检；FEC在主机侧；非相干；非CPO/LPO;Codex集成：无canonical structure证据，verified降为hypothesis
SN-ROUTE-800G-2XFR4,product_route,800G 2×FR4可插拔直检模块,800G 2xFR4 pluggable direct-detect,以两路独立的400GBASE-FR4光学接口聚合为800G的可插拔直检模块：每路4λ CWDM PAM4、双工LC、典型≤2km。,admitted,structural_critical,hypothesis,mandatory_for_route=yes;bottleneck=unknown;substitutability=n/a;affects_key_process=n/a;basis=IEEE_802.3cu_plus_2x_aggregation_datasheets,,2026-07-24,光学上是2×FR4而非单一800GBASE-FR8；LPO变体不纳入本路线节点;Codex集成：无canonical structure证据，verified降为hypothesis
SN-ROUTE-400ZR,product_route,400ZR相干可插拔模块,400ZR coherent pluggable,OIF 400ZR：单载波相干DP-16QAM、模块内低功耗DSP与C-FEC、面向可插拔DCO形态的400G线侧接口路线。,admitted,structural_critical,hypothesis,mandatory_for_route=yes;bottleneck=unknown;substitutability=n/a;affects_key_process=n/a;basis=OIF-400ZR-IA,,2026-07-24,相干可插拔；form factor由MSA另定；非灰光直检;Codex集成：无canonical structure证据，verified降为hypothesis
SN-FN-ELEC-HOST-IO,function,主机侧高速电接口,Host-side high-speed electrical I/O,模块与主机之间的重定时高速电通道（如800GAUI-8/400GAUI-4等），完成电域均衡与通道适配。,admitted,structural_critical,hypothesis,mandatory_for_route=all_three;bottleneck=hypothesis_power_serdes;substitutability=low;affects_key_process=assembly_test;basis=IEEE_802.3ck_AUI,,2026-07-24,三路线共用功能；LPO去掉模块侧重定时不在本MVP路线内;Codex集成：无canonical structure证据，verified降为hypothesis
SN-FN-OPT-TX,function,光发送,Optical transmit,将电域信号转换为符合目标PHY的光发送信号（直检强度调制或相干IQ调制）。,admitted,structural_critical,hypothesis,mandatory_for_route=all_three;bottleneck=unknown;substitutability=none;affects_key_process=n/a;basis=PHY_definitions,,2026-07-24,功能层；具体实现由部件承担;Codex集成：无canonical structure证据，verified降为hypothesis
SN-FN-OPT-RX,function,光接收,Optical receive,将入射光信号转换为电域信号（直检光电探测或相干混频+平衡探测）。,admitted,structural_critical,hypothesis,mandatory_for_route=all_three;bottleneck=unknown;substitutability=none;affects_key_process=n/a;basis=PHY_definitions,,2026-07-24,功能层;Codex集成：无canonical structure证据，verified降为hypothesis
SN-FN-MODULE-MGMT,function,模块管理与数字诊断,Module management and DDM,经管理接口（如CMIS/I2C）提供识别、监控、告警与固件能力。,admitted,supporting,hypothesis,mandatory_for_route=typical_pluggable;bottleneck=no;substitutability=medium;affects_key_process=n/a;basis=CMIS_industry_practice,,2026-07-24,非光学差异来源；三路线通常具备;Codex集成：无canonical structure证据，verified降为hypothesis
SN-FN-PAM4-SIG,function,PAM4调制解调,PAM4 modulation/demodulation,直检路线中每电/光通道的四电平脉冲幅度调制与解调（符号率约53.125或106.25GBd量级依代际）。,admitted,structural_critical,hypothesis,mandatory_for_route=DR8_2xFR4;bottleneck=hypothesis_dsp_power;substitutability=low;affects_key_process=n/a;basis=IEEE_802.3df_802.3cu,,2026-07-24,仅直检两路线；400ZR用DP-16QAM而非此功能;Codex集成：无canonical structure证据，verified降为hypothesis
SN-FN-HOST-FEC-TARGET,function,主机侧FEC预编码目标兼容,Host-side FEC pre-FEC BER target,直检模块需满足主机侧KP4/RS-FEC假设下的预FEC误码与光指标；FEC本身在主机而非模块内实现。,admitted,enabling,hypothesis,mandatory_for_route=DR8_2xFR4;bottleneck=no;substitutability=n/a;affects_key_process=link_budget;basis=IEEE_FR4_DR_host_FEC,,2026-07-24,禁止把主机FEC写成模块component；此处仅为功能约束;Codex集成：无canonical structure证据，verified降为hypothesis
SN-FN-PARALLEL-FIBER,function,并行光纤空间复用,Parallel-fiber spatial multiplexing,以多纤并行（8光通道/16纤典型）而非波分承载多通道的光互连方式。,admitted,structural_critical,hypothesis,mandatory_for_route=DR8;bottleneck=hypothesis_fiber_count_ops;substitutability=alt_to_CWDM;affects_key_process=n/a;basis=IEEE_800GBASE-DR8,,2026-07-24,DR8特有相对FR4;Codex集成：无canonical structure证据，verified降为hypothesis
