edge_id,供方,需方,占比或金额,财年,边等级,证据文件,锚点,验证状态,备注
E001,Fabrinet,NVIDIA,27.6%,FY2025(至2025-06),实边,Fabrinet 10-K FY2025,https://www.sec.gov/Archives/edgar/data/1408710/000140871025000039/fn-20250627.htm,会话端已验证-SEC原文命中,约9.4亿美元代工额
E002,Fabrinet,NVIDIA,35.1%,FY2024,实边,Fabrinet 10-K FY2024,https://investor.fabrinet.com/static-files/7ddbe628-5ad6-4f71-85c1-88baa3ab2704,会话端已验证,
E003,Fabrinet,Cisco,18.2%,FY2025,实边,Fabrinet 10-K FY2025,同E001,会话端已验证,
E004,Fabrinet,Cisco,13.4%,FY2024,实边,Fabrinet 10-K FY2024,同E002,会话端已验证,
E005,Fabrinet,Lumentum,19%,FY2020,实边,Fabrinet 10-K FY2020财报表,https://www.sec.gov/Archives/edgar/data/1408710/000119312520223682/Financial_Report.xlsx,会话端已验证,历史时代锚点
E006,Fabrinet,Acacia,10%,FY2020,实边,同E005,同E005,会话端已验证,
E007,Fabrinet,Infinera,10%,FY2020,实边,同E005,同E005,会话端已验证,
E008,NeoPhotonics,华为+海思,41%,2019,实边(已死亡),NeoPhotonics 10-K FY2019,https://www.sec.gov/Archives/edgar/data/1227025/000122702520000020/nptn12311910k.htm,会话端已验证-SEC原文命中,2017:40%/2018:46%/2020:40%/2021归零;死亡序列见seed findings
E009,NeoPhotonics,Ciena,29%,2019,实边,同E008,同E008,会话端已验证,2017:16%/2018:24%
E010,猎奇智能,中际旭创(作为客户),58.85%,2024,实边,创业板IPO招股书申报稿,腾讯转述页+深交所审核项目页可取原文,会话端已验证+抽检交叉,新版申报稿2025降至53.42%;老化测试毛利率50.65%→12.55%
E011,ficonTEC(罗博特科),博通(客户),已交付14台CPO耦合设备,2024,实边,交易所审核问询函回复,SEC式锚:file.finance.qq.com/1222144802.PDF(问询回复PDF),会话端抽检逐字命中,唯一供应商表述
E012,ficonTEC(罗博特科),NVIDIA(客户),在手订单2433.83万欧元(至2024-07-31),2024,实边,天健问询专项说明,多源逐字一致,会话端抽检命中,后续升级:超50台/在手4800万欧元(至2024-12-13)
E013,派克新材,等离子体所(客户),815万元中标,2025-09,实边,中标公示,聚变域收割库F043,会话端已验证,跨行业样本仅作边schema参考(边界外)
E014,凯格精机,Fabrinet(疑似客户),800G/1.6T组装产线交付,2025,半边,互动平台回应(未点名)+财联社,光模块收割库OF007,待P2处理,产线数量3条vs2条口径不一致待解
E015,新易盛,客户一(匿名),36.79%(1139711326.47元),2023,半边槽位,新易盛2023年报,http://static.cninfo.com.cn/finalpage/2024-04-23/1219746778.PDF,P2原文复核-修正转录值36.3%→36.79%,候选云巨头;解匿上限预期C级;判例#001
E016,新易盛,浙江粮油(出口代理),收入确认政策点名,2023-2025,程序段落泄漏,新易盛2023/2024/2025年报收入确认政策,http://static.cninfo.com.cn/finalpage/2025-04-23/1223219348.PDF,P2原文已验证-全称"浙江省粮油食品进出口股份有限公司"逐字命中,贸易商夹层实证;取得"货物出口汇总清单"时确认收入;可顺报关侧追
E017,AAOI,Microsoft,46.6%,2023,实边,AAOI 10-K FY2023,https://www.sec.gov/Archives/edgar/data/1158114/000143774924005367/aaoi20231231_10k.htm,本轮P1-SEC原文命中,2021:14.1%/2022:18.4%
E018,AAOI,Microsoft,43.7%,2024,实边,AAOI 10-K FY2024,https://www.sec.gov/Archives/edgar/data/1158114/000143774925005575/aaoi20241231_10k.htm,本轮P1-SEC原文命中,
