row_id,company,period,reported_segment,amount,currency,yoy,gross_margin,cell_ids,mapping_scope,source_url,source_anchor,evidence_grade,retrieved_at
SR001,华工科技,2025年度,光电器件系列产品,6096823863.78,CNY,+53.39%,13.26%,"MOD1,MOD2,MOD3,C4,D1,D2,D3",exact,https://static.cninfo.com.cn/finalpage/2026-03-26/1225031509.PDF,2025年报分产品收入表(华工正源光模块/光器件业务;激光加工装备36.36亿工业激光树外未计),B,2026-08-15
SR002,铭普光磁,2025年度,光通信产品,292233216.27,CNY,-32.88%,6.20%,"D1,D3,MOD1,MOD3",exact,https://static.cninfo.com.cn/finalpage/2026-04-25/1225190103.PDF,2025年报分产品收入表(通信磁性元器件8.88亿树外未计),B,2026-08-15
SR003,东田微,2025年度,通信类光学元器件,270873320.32,CNY,+118.46%,19.70%,"D6,D11",exact,https://static.cninfo.com.cn/finalpage/2026-04-27/1225179306.PDF,2025年报分产品收入表(摄像头滤光片5.83亿消费电子树外未计),B,2026-08-15
SR004,永鼎股份,2025年度,光通信,998996380.48,CNY,-10.45%,20.77%,,mixed_scope,https://static.cninfo.com.cn/finalpage/2026-04-21/1225133679.PDF,"2025年报分产品收入表(含光纤光缆等树外业务,不可拆分到格)",B,2026-08-15
SR005,亨通光电,2025年度,光通信,5608847341.12,CNY,-14.53%,27.53%,,mixed_scope,https://static.cninfo.com.cn/finalpage/2026-04-25/1225195764.PDF,"2025年报分产品收入表(含光纤光缆等树外业务,不可拆分到格)",B,2026-08-15
SR006,中天科技,2025年度,光通信及网络,7369852952.61,CNY,-8.94%,22.58%,,mixed_scope,https://static.cninfo.com.cn/finalpage/2026-04-25/1225177318.PDF,"2025年报分产品收入表(含光纤光缆等树外业务,不可拆分到格)",B,2026-08-15
SR007,长飞光纤,2025年度,光互联组件,3143858396,CNY,+48.58%,39.73%,,mixed_scope,https://static.cninfo.com.cn/finalpage/2026-03-28/1225048080.PDF,"2025年报分产品收入表(含并表子公司长芯博创,不可与SE007/SE008等长芯博创行重复计数)",B,2026-08-15
SR008,长盈通,2025年度,无源内连光器件,23490506.08,CNY,-,"31.96%(由收入23,490,506.08/成本15,981,965.90自算)",D9,exact,https://static.cninfo.com.cn/finalpage/2026-04-29/1225230072.PDF,"2025年报合同分类收入表(生一升子公司,光模块用无源内连光器件和光纤阵列器件;同表光纤环器件2.01亿/特种光纤0.79亿系惯导主用,未纳入)",B,2026-08-15
SR009,优迅股份,2025年度,光通信收发合一芯片等4条电芯片线(合计;收发合一4.10亿+20.46%/跨阻放大器0.67亿+5.93%/激光驱动器0.05亿+35.45%/限幅放大器0.04亿+24.83%),485978278.57,CNY,见segment,40.57%~65.00%,C5,exact,https://static.cninfo.com.cn/finalpage/2026-04-10/1225088673.PDF,2025年报分产品收入表(4线均光模块电芯片),B,2026-08-15
SR010,蘅东光,2025年度,无源光器件,1963251875.80,CNY,+61.50%,26.29%,D9,exact,https://static.cninfo.com.cn/finalpage/2026-04-24/1225197157.PDF,2025年报分产品收入表(境外收入占比91.22%),B,2026-08-15
SR011,源杰科技,2025年度,光芯片(分行业;分产品:数据中心类3.93亿+719.06%毛利率72.21%/电信市场类2.06亿+2.06%毛利率31.17%),600807055.04,CNY,+139.99%,58.15%,C1,exact,https://static.cninfo.com.cn/finalpage/2026-03-25/1225028582.PDF,2025年报分行业/分产品收入表,B,2026-08-15
SR012,通宇通讯,2025年度,"光通信(分行业,本部口径;参股四川光为不并表)",3982733.91,CNY,-28.26%,9.92%,MOD1,exact,https://static.cninfo.com.cn/finalpage/2026-04-28/1225219275.PDF,2025年报分行业收入表,B,2026-08-15
SR013,三环集团,2025年度,通信器件(以光纤陶瓷插芯/套筒为主),2594309892.31,CNY,+12.50%,44.36%,"D4,D10",exact,https://static.cninfo.com.cn/finalpage/2026-03-28/1225041594.PDF,2025年报分产品收入表(原表跨行断字已回表区对位),B,2026-08-15
