candidate_id,entity_name,entity_type,suggested_role,suggested_tier,priority,capability_scope,inclusion_reason,source_ref,verification_status,promoted_entity_id,reviewed_at,notes
CAND_AXT,AXT,company,upstream_enabler,quarterly,P1,M1,InP/GaAs/Ge衬底直接观察InP供给扩产与出口许可,https://investors.axt.com/Investors/news/news-details/2026/AXT-Inc--Announces-First-Quarter-2026-Financial-Results/default.aspx,promoted,AXTI,2026-08-13,四槽已建；2026Q2只有发布预告并显式unavailable
CAND_GFS,GlobalFoundries,company,upstream_enabler,quarterly,P1,C4/P1,硅光代工与CPO平台可验证设计到量产节奏,https://gf.com/technologies/silicon-photonics/,promoted,GFS,2026-08-13,业务宽需隔离硅光口径
CAND_TSEM,Tower Semiconductor,company,upstream_enabler,quarterly,P1,C4/C5/P1,SiPho与模拟混合信号代工并有1.6T量产披露,https://ir.towersemi.com/financial-information/quarterly-results/,promoted,TSEM,2026-08-13,客户披露受保密限制
CAND_SMTC,Semtech,company,upstream_enabler,quarterly,P1,C5,200G每通道PMD与TIA/driver补足高速模拟前端,https://www.semtech.com/technology/fiberedge-directedge,promoted,SMTC,2026-08-13,非光业务稀释口径
CAND_MXL,MaxLinear,company,upstream_enabler,quarterly,P1,C5,200G TIA与PAM4 DSP补足LPO和DSP路线,https://www.maxlinear.com/dcc,promoted,MXL,2026-08-13,四季度采用SEC法定披露连续覆盖；不等同电话会
CAND_JBL,Jabil,company,core_peer,quarterly,P1,EMS1/MOD1,承接硅光模块业务并推出1.6T可观察制造交付,https://www.jabil.com/news/jabil-launches-1.6t-pluggable-transceiver.html,promoted,JBL,2026-08-13,AI收入不能等同光模块收入
CAND_VECO,Veeco,company,upstream_enabler,quarterly,P1,EQ1/EQ2,InP设备订单是激光产能的领先指标,https://ir.veeco.com/news-and-events/news-details/2026/Veeco-Books-Multi-System-Lumina-and-Spector-Orders-for-Manufacturing-Indium-Phosphide-InP-based-Optical-Components/default.aspx,promoted,VECO,2026-08-13,订单应用归因仍需核
CAND_FORM,FormFactor,company,upstream_enabler,quarterly,P1,EQ7,硅光与CPO晶圆级测试覆盖量产测试缺口,https://www.formfactor.com/product/probe-systems/autonomous-assistants/autonomous-silicon-photonics/,promoted,FORM,2026-08-13,公司主业还包括存储探针卡
CAND_AIXA,AIXTRON,company,upstream_enabler,quarterly,P1,EQ1,InP/GaAs MOCVD观察六英寸InP扩产与设备交期,https://www.aixtron.com/investoren/events/telefonkonferenz/2025/AIXTRON_SE_FY_2025_speech.pdf,promoted,AIXA,2026-08-13,半年报与九个月报告按正式等价材料登记
CAND_ASMPT,ASMPT,company,upstream_enabler,quarterly,P1,EQ3/EQ4/EQ5,CPO与SiPh贴装耦合键合覆盖封装自动化,https://www.asmpt.com/en/news-center/press-releases/asmpt-at-ofc-2026-los-angeles-enabling-scalable-co-packaged-optics-and-photonic-integration/,promoted,ASMPT,2026-08-13,展示与量产收入需分开
CAND_SOI,Soitec,company,upstream_enabler,quarterly,P2,M1/C4,Photonics-SOI是硅光底座并已形成AI增长信号,https://www.soitec.com/home/products/product-platforms/photonics-soi,promoted,SOI,2026-08-13,两期正式材料持续出现直接光子信号
CAND_SUMITOMO,Sumitomo Electric,company,upstream_enabler,quarterly,P2,M1/C1/D9,InP EML CW laser和FAU同时覆盖光源与光耦,https://sumitomoelectric.com/products/FlexBeamGuidE-SC,promoted,SUMITOMO,2026-08-13,按信息通信分部而非集团总额跟踪
CAND_FURUKAWA,Furukawa Electric,company,upstream_enabler,quarterly,P2,C1/C6/D9,DFB EML ITLA与数据中心光连接链条完整,https://www.furukawa.co.jp/en/solution/datacenter/index.html,promoted,FURUKAWA,2026-08-13,正式材料持续提供通信解决方案信号
CAND_MELCO,Mitsubishi Electric,company,upstream_enabler,watch,P2,C1,EML覆盖800G至3.2T并可观察光源扩产,https://www.mitsubishielectric.com/en/pr/2026/pdf/0529_co5.pdf,promoted,WATCH_MELCO,2026-08-13,两期集团材料均无可分离光学经营信号
CAND_FUJIKURA,Fujikura,company,upstream_enabler,watch,P2,M4/D9,光纤与高密度连接补足无源互联约束,https://www.fujikura.co.jp/eng/ir/library/briefing/doc01.pdf,promoted,WATCH_FUJIKURA,2026-08-13,直接信号存在但最新英文季度直链覆盖不足
CAND_POET,POET Technologies,company,upstream_enabler,quarterly,P2,D12/P1,晶圆级1.6T光引擎信号纯度高,https://www.poet-technologies.com/products/poet-teralight,promoted,POET,2026-08-13,商业化与实际收入需分层跟踪
CAND_SIVERS,Sivers Semiconductors,company,upstream_enabler,quarterly,P2,C1,DFB与CW laser提供新进入者样本,https://www.sivers-semiconductors.com/wp-content/uploads/2026/05/Sivers_annualreport_2025_2.pdf,promoted,SIVERS,2026-08-13,规模融资和跨期更正单列
CAND_SANM,Sanmina,company,core_peer,quarterly,P2,EMS1/P1,光子设计封装制造可验证制造端,https://www.sanmina.com/solutions-contract-manufacturing-design/optical/,promoted,SANM,2026-08-13,按云AI制造信号跟踪而不归因光学收入
CAND_CLS,Celestica,company,system_vendor,quarterly,P2,EMS1/MOD1,AI网络硬件制造可观察系统交付,https://www.celestica.com/our-expertise/markets/communications,promoted,CLS,2026-08-13,兼容光模块不视作自产模块
CAND_ASE,ASE Technology,company,upstream_enabler,watch,P2,P1/EQ7,硅光FOPOP与光学实验室验证OSAT量产能力,https://ase.aseglobal.com/silicon-photonics/,promoted,WATCH_ASE,2026-08-13,集团季度材料无法分离硅光经营信号
