claim_id,量化结论,证据等级,证据类型,处理方式,来源描述,链接,口径备注
MC001,2026数通光模块市场约228亿美元,B,机构报告/厂商规格,"机构一手或厂商规格,可引用需附口径",LightCounting《Optics for AI》2026-01月报（以太网+CPO收发器2026预测260亿美元；数通口径228亿）,https://lightcounting.com/newsletter/en/january-2026-optics-for-ai-clusters-366 https://www.c-light.com/news/details/2026_Telecom_Optical_Module_Market.html,口径=数通/数据中心，非全品类；中金/新浪亦引用228亿
MC002,中国厂商全球份额超过60%,B,机构报告/厂商规格,"机构一手或厂商规格,可引用需附口径",LightCounting 2024全球前十（中国占7席：旭创/新易盛/华为/光迅/海信宽带/华工/东山）+2026预测合计>60%,https://caifuhao.eastmoney.com/news/20260529091238662831220 https://www.c-light.com/news/details/2026_Telecom_Optical_Module_Market.html,60%≈高端800G/1.6T数通；前十占七席为2024排名
MC003,上游总成本占比70-80%（型号相关，800G/1.6T偏高）,C,多型号混合口径,"二手汇总,仅方向性参考不上首页",同花顺《光模块全产业链深度拆解(2026)》；雪球ssgsmarketing,https://t.10jqka.com.cn/pid_619115549.shtml https://ssgsmarketing@xueqiu.com/7831343781/395687338,与B3同源；非全行业恒定比例
MC004,高端DSP国产化<3%（800G/1.6T PAM4精确口径<5%）,C,机构报告/厂商规格,"二手汇总,仅方向性参考不上首页",同花顺（112G/224G PAM4不足3%）/东方财富/雪球/澎湃；头条称DSP国产化0%,https://t.10jqka.com.cn/pid_619115549.shtml https://www.toutiao.com/a7663023966503567907,"按速率分层：低端25/50G≈40%、400G≈10%、800G/1.6T<5%；等级复审:同花顺/东方财富/雪球互引=回声室,与B5/B6同判压回C"
MC005,1.6T CPO功耗9W而传统方案30W,D,缺少同边界同口径原始测试,"缺可比原始数据,不采用",缺同边界（CPO vs 传统）可比原始测试；各厂商方案功耗差异大,,从正文删除，仅作诚实标注
MC006,800G DR8采用8路100G通道,A,IEEE 802.3df标准材料,进入路线BOM,,https://www.ieee802.org/3/df/KeyMotions_3df_220914.pdf,
MC007,1.6TBASE-DR8采用8路200G方向,B,IEEE P802.3dj制定中材料,进入路线BOM并标记标准制定中,,https://www.ieee802.org/3/B400G/email/msg01775.html,
MC008,400ZR采用单载波DP-16QAM与相干DSP,A,OIF Implementation Agreement,进入路线BOM,,https://www.oiforum.com/oif-publishes-implementation-agreement-for-400zr-coherent-optical-interface/,
MC009,已确认公司数,A,内部证据账本可重算,首页展示,,capability_details.csv,
MC010,能力记录数与覆盖节点数,A,内部证据账本可重算,首页展示,,capability_details.csv,
MC011,数通占比>70%,B,机构报告/厂商规格,"机构一手或厂商规格,可引用需附口径",LC数通228亿 vs 电信53亿≈81%；新浪/中金一致称数通超70%,https://finance.sina.com.cn/stock/relnews/cn/2026-04-27/doc-inhvwwmp2518726.shtml https://www.c-light.com/news/details/2026_Telecom_Optical_Module_Market.html,多家分析一致
