"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202401","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","3","千克","0","?","25,966",
"202401","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","2","千克","0","?","24",
"202401","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","56","千克","0","?","10,993",
"202401","85177950","光通信设备的激光收发模块","111","印度","39","其他","1","千克","0","?","40",
"202401","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","70","千克","0","?","72,367",
"202401","85177950","光通信设备的激光收发模块","115","以色列","10","一般贸易","1","千克","0","?","2,596",
"202401","85177950","光通信设备的激光收发模块","115","以色列","33","保税监管场所进出境货物","0","千克","0","?","569",
"202401","85177950","光通信设备的激光收发模块","115","以色列","39","其他","2","千克","0","?","8,438",
"202401","85177950","光通信设备的激光收发模块","116","日本","10","一般贸易","489","千克","0","?","605,960",
"202401","85177950","光通信设备的激光收发模块","116","日本","15","进料加工贸易","5","千克","0","?","32,621",
"202401","85177950","光通信设备的激光收发模块","116","日本","34","海关特殊监管区域物流货物","1","千克","0","?","3,816",
"202401","85177950","光通信设备的激光收发模块","116","日本","39","其他","1","千克","0","?","659",
"202401","85177950","光通信设备的激光收发模块","120","黎巴嫩","10","一般贸易","4","千克","0","?","5,867",
"202401","85177950","光通信设备的激光收发模块","122","马来西亚","10","一般贸易","2248","千克","0","?","3,708,814",
"202401","85177950","光通信设备的激光收发模块","122","马来西亚","15","进料加工贸易","73","千克","0","?","206,101",
"202401","85177950","光通信设备的激光收发模块","122","马来西亚","33","保税监管场所进出境货物","359","千克","0","?","607,232",
"202401","85177950","光通信设备的激光收发模块","122","马来西亚","34","海关特殊监管区域物流货物","363","千克","0","?","858,795",
"202401","85177950","光通信设备的激光收发模块","122","马来西亚","39","其他","5","千克","0","?","17,533",
"202401","85177950","光通信设备的激光收发模块","129","菲律宾","10","一般贸易","522","千克","0","?","834,316",
"202401","85177950","光通信设备的激光收发模块","129","菲律宾","15","进料加工贸易","321","千克","0","?","160,346",
"202401","85177950","光通信设备的激光收发模块","129","菲律宾","34","海关特殊监管区域物流货物","27","千克","0","?","61,641",
"202401","85177950","光通信设备的激光收发模块","133","韩国","10","一般贸易","6","千克","0","?","4,027",
"202401","85177950","光通信设备的激光收发模块","133","韩国","33","保税监管场所进出境货物","1","千克","0","?","230",
"202401","85177950","光通信设备的激光收发模块","133","韩国","34","海关特殊监管区域物流货物","138","千克","0","?","476,140",
"202401","85177950","光通信设备的激光收发模块","133","韩国","39","其他","2","千克","0","?","7,452",
"202401","85177950","光通信设备的激光收发模块","136","泰国","10","一般贸易","2989","千克","0","?","16,906,326",
"202401","85177950","光通信设备的激光收发模块","136","泰国","15","进料加工贸易","15","千克","0","?","5,536",
"202401","85177950","光通信设备的激光收发模块","136","泰国","33","保税监管场所进出境货物","487","千克","0","?","5,939,813",
"202401","85177950","光通信设备的激光收发模块","136","泰国","34","海关特殊监管区域物流货物","109","千克","0","?","726,237",
"202401","85177950","光通信设备的激光收发模块","136","泰国","39","其他","7","千克","0","?","9,050",
"202401","85177950","光通信设备的激光收发模块","141","越南","10","一般贸易","1","千克","0","?","402",
"202401","85177950","光通信设备的激光收发模块","141","越南","15","进料加工贸易","0","千克","0","?","125",
"202401","85177950","光通信设备的激光收发模块","141","越南","34","海关特殊监管区域物流货物","0","千克","0","?","658",
"202401","85177950","光通信设备的激光收发模块","142","中国","10","一般贸易","6009","千克","0","?","18,180,536",
"202401","85177950","光通信设备的激光收发模块","142","中国","14","来料加工贸易","10","千克","0","?","22,455",
"202401","85177950","光通信设备的激光收发模块","142","中国","15","进料加工贸易","491","千克","0","?","749,941",
"202401","85177950","光通信设备的激光收发模块","142","中国","33","保税监管场所进出境货物","778","千克","0","?","3,315,449",
"202401","85177950","光通信设备的激光收发模块","142","中国","34","海关特殊监管区域物流货物","675","千克","0","?","1,118,491",
"202401","85177950","光通信设备的激光收发模块","142","中国","35","海关特殊监管区域进口设备","2","千克","0","?","17,635",
"202401","85177950","光通信设备的激光收发模块","142","中国","39","其他","38","千克","0","?","66,530",
"202401","85177950","光通信设备的激光收发模块","143","中国台湾","10","一般贸易","371","千克","0","?","518,928",
"202401","85177950","光通信设备的激光收发模块","143","中国台湾","15","进料加工贸易","146","千克","0","?","274,472",
"202401","85177950","光通信设备的激光收发模块","143","中国台湾","33","保税监管场所进出境货物","1","千克","0","?","2,812",
"202401","85177950","光通信设备的激光收发模块","143","中国台湾","34","海关特殊监管区域物流货物","87","千克","0","?","112,365",
"202401","85177950","光通信设备的激光收发模块","143","中国台湾","35","海关特殊监管区域进口设备","0","千克","0","?","1,406",
"202401","85177950","光通信设备的激光收发模块","143","中国台湾","39","其他","1","千克","0","?","1,455",
"202401","85177950","光通信设备的激光收发模块","244","南非","10","一般贸易","10","千克","0","?","2,142",
"202401","85177950","光通信设备的激光收发模块","301","比利时","10","一般贸易","74","千克","0","?","285,779",
"202401","85177950","光通信设备的激光收发模块","302","丹麦","10","一般贸易","0","千克","0","?","746",
"202401","85177950","光通信设备的激光收发模块","303","英国","10","一般贸易","54","千克","0","?","69,996",
"202401","85177950","光通信设备的激光收发模块","303","英国","34","海关特殊监管区域物流货物","0","千克","0","?","95",
