queue_id,发现算子,对象类型,对象,发现证据(URL/出处),发现日期,待验证T1路径,状态,闸裁决,闸裁决人,闸裁决时间戳,裁决理由,备注
DQ-L001,media_lead,company,中际旭创,界面新闻 https://www.jiemian.com/article/14319256.html,2026-04-24,查巨潮资讯网中际旭创当期投资者关系活动记录表原文；等2026年半年报产能/在建工程段落核对3.2T产线进度,待闸,,,,,线索描述：中际旭创2026-04-24业绩说明会称：3.2T光模块产能正在准备中、尚未到送样阶段；1.6T已量产出货且预计季度环比提升；正积极准备6.4T NPO和12.…
DQ-L002,media_lead,company,中际旭创,财联社(腾讯新闻转载页) https://view.inews.qq.com/a/20260515A09U4Q00,2026-05-15,查巨潮资讯网该份投资者关系活动记录表PDF原文，核对“产能持续扩建”表述与披露日期,待闸,,,,,线索描述：财联社5月15日电：中际旭创发布投资者关系活动记录表，称产能利用率充足、产能持续扩建中；高端光模块订单和出货持续增加；1.6T早已批量出货、3.2T尚在持续研发…
DQ-L003,media_lead,company,新易盛,同花顺(转证券日报) https://m.10jqka.com.cn/20260605/c677248043.shtml,2026-06-05,查深交所互动易新易盛答复原文；等2026年半年报泰国工厂产能与产量段落核对满产进度,待闸,,,,,线索描述：新易盛在互动平台答复：泰国工厂二期自2025年初建成以来持续扩产、今年扩产节奏加快、尽快达到满产；正推进3.2T及更高速率光模块研发和样品工作，LPO/CPO有…
DQ-L004,media_lead,company,天孚通信,C114通信网 https://m.c114.com.cn/w5472-1301240.html,2025-11-25,查巨潮资讯网天孚通信2025年11月投资者关系活动记录表原文；查2025年年报泰国/高安基地投产进度披露,待闸,,,,,线索描述：天孚通信投资者关系活动介绍：已具备800G及1.6T高速光引擎量产能力、1.6T正常交付；部分物料出现阶段性提产瓶颈；泰国基地一期2024年中投产、二期当年投用…
DQ-L005,media_lead,company,源杰科技,界面新闻 https://www.jiemian.com/article/14343073.html,2026-04-28,查源杰科技2026年第一季度报告原文(上交所)核对EML/CW表述；查12.51亿元投资项目公告；跟踪200G EML客户验证进展公告,待闸,,,,,线索描述：源杰科技2026年一季报报道：100G PAM4 EML完成客户验证并小批量出货，200G PAM4 EML开始推进客户验证；CW 70mW大批量出货、CW 1…
DQ-L006,media_lead,company,源杰科技,讯石光通讯网 http://www.iccsz.com/site/cn/News/2026/02/28/20260228030010991137.htm,2026-02-28,查源杰科技2025年度业绩快报公告原文(上交所科创板)，逐位核对营收与CW光源表述,待闸,,,,,线索描述：讯石转述源杰科技2025年度业绩快报：营收6.01亿元同比+138.50%、净利1.91亿元；数据中心CW光源产品销量与毛利率双升，受AI拉动光芯片需求（报道口…
DQ-L007,media_lead,company,罗博特科/ficonTEC,讯石光通讯网 http://www.iccsz.com/4g/news.Asp?ID=4b07cf45d1ab423990d3e37bd925c36e,2026-03-31,查罗博特科2025年年度报告分行业营收与在手订单段落原文(巨潮)，核对ficonTEC并表口径与订单金额,待闸,,,,,线索描述：罗博特科2025年报报道：ficonTEC并表后光电子及半导体业务营收4.855亿元同比+867.54%；可插拔光模块封装设备获大额订单，CPO量产设备完成验证…
DQ-L008,media_lead,company,罗博特科/ficonTEC,新浪财经 https://finance.sina.com.cn/roll/2026-04-10/doc-inhtywee0295280.shtml,2026-04-10,查巨潮资讯网罗博特科该投资者关系活动记录表原文及6亿元重大合同公告，核对匿名客户口径与履约安排,待闸,,,,,线索描述：罗博特科投资者关系活动记录报道：与某纳斯达克上市公司及其子公司签署总金额6亿元硅光设备量产订单；ficonTEC德国/爱沙尼亚/中国三基地提产并拟增设新组装基地…
DQ-L009,media_lead,company,猎奇智能/中际旭创,新浪财经(瑞财经·预审IPO) https://finance.sina.com.cn/stock/newstock/2026-01-06/doc-inhfkfum1295415.shtml,2026-01-06,查深交所创业板项目动态页猎奇智能招股说明书申报稿前五大客户/重大合同章节，逐位核对6笔订单金额与签约日期,待闸,,,,,线索描述：猎奇智能创业板IPO报道：招股书披露2022年4月-2025年5月与中际旭创签6笔光模块封测设备采购订单、合同累计3.34亿元、单笔最高8271.60万元；20…
DQ-L010,media_lead,company,光迅科技,新浪财经 https://finance.sina.com.cn/stock/relnews/cn/2026-06-04/doc-iniafmms3715451.shtml,2026-06-04,查光迅科技定增发行情况报告书及募集资金到账公告(巨潮)；查武汉基地项目备案/环评公示核对投资额,待闸,,,,,线索描述：光迅科技35亿元定增落地报道：实际募资净额约34.85亿元，投向算力中心光连接及高速光传输产品生产建设，达产后年产高速光模块499.20万只；另有67.5亿元武…
DQ-CD-001,customs_diff,flow_anomaly,中国台湾,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=149,629,756 → 2026H1=491,595,736 USD，Δ=+341,965,980（+228.5%）"
DQ-CD-002,customs_diff,flow_anomaly,以色列,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=4,468,073 → 2026H1=9,803,798 USD，Δ=+5,335,725（+119.4%）"
DQ-CD-003,customs_diff,flow_anomaly,几内亚,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=6,355,674 → 2026H1=503,844 USD，Δ=-5,851,830（-92.1%）"
DQ-CD-004,customs_diff,flow_anomaly,印度尼西亚,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=14,687,266 → 2026H1=23,576,567 USD，Δ=+8,889,301（+60.5%）"
DQ-CD-005,customs_diff,flow_anomaly,土耳其,flows/out/customs-partners.csv 自算（2025H1 vs 2026H1，USD）,2026-07-24,按省份分拆+台账节点定位对应该伙伴国的主要出口主体，定向检索其产能/募投/环评披露；海关量为旁证不承重,待闸,,,,,"2025H1=3,922,874 → 2026H1=10,458,110 USD，Δ=+6,535,236（+166.6%）"
