event_id,program_id,event_category,lifecycle_stage,event_status,primary_subject_id,counterparty_ids,theme_ids,occurred_start,occurred_end,date_precision,previous_event_id,site_country,target_market,policy_jurisdiction,summary,notes
EV001,PRG_AAOI_1P6,commercial_adoption,volume_order,asserted,AAOI,,T015,2026-03-09,2026-03-09,exact,,,,美国,AAOI第一方披露首笔1.6T批量订单,未披露客户身份；预计发货不作为已兑现事件
EV002,PRG_LITE_1P6_DEMO,product_stage,demonstrated,asserted,LITE,,T010,2026-04-30,2026-04-30,exact,,,,,Lumentum第一方博客披露1.6T 2xDR4现场演示,技术演示不等于量产或客户采用
EV003,PRG_AVGO_TAURUS,product_stage,sampling,asserted,AVGO,,T011,2026-03-11,2026-03-11,exact,,,,全球,Broadcom第一方披露400G/lane Taurus光DSP开始送样,送样不等于客户认证或批量采用
EV004,PRG_MRVL_ARA,product_stage,scaled,asserted,MRVL,,T010,2026-03-12,2026-03-12,exact,,,,全球,Marvell第一方称Ara 1.6T光DSP已大批量出货,asserted保留公司自述属性；未获得客户侧数量确认
EV005,PRG_NOK_800G_COHERENT,commercial_adoption,first_shipment,asserted,NOK,,T021,2025-10-23,2025-10-23,exact,,,美国,,Nokia第一方称800G相干可插拔开始向一家美国客户发货,客户未具名；不等同短距800G数通模块
EV006,PRG_CIEN_WL6E,product_stage,demonstrated,asserted,CIEN,,T021,2026-03-31,2026-03-31,exact,,,印度,,Ciena第一方披露1.6T单波跨数据中心现场试验,同一公司公告内的客户叙述不构成独立验证
EV007,PRG_MTSI_448G,product_stage,announced,asserted,MTSI,,T011,2026-03-17,2026-03-17,exact,,,,全球,MACOM第一方披露448G/lane PAM4驱动器可获得,announced为保守阶段；不推导模块量产
EV008,PRG_CRDO_ZEROFLAP,product_stage,announced,asserted,CRDO,,T004,2026-03-17,2026-03-17,exact,EV015,,全球,,Credo第一方披露800G 2xDR4 ZeroFlap光模块一般可用,只把800G 2xDR4 SKU从产品族送样推进到GA；不推导规模和客户采用
EV009,PRG_NOK_AI_OPTICAL_ORDERS,commercial_adoption,announced,asserted,NOK,,T021,2026-04-23,2026-04-23,exact,,,,全球,Nokia第一方披露AI与云可插拔及线路系统设计定点与订单,未披露客户速率金额或发货；不能据订单推导规模采用
EV010,PRG_NOK_PSE6S,product_stage,announced,asserted,NOK,,T021,2026-04-23,2026-04-23,exact,,,,全球,Nokia第一方预告下一代光网络产品2027年送样及量产窗口,Guidance事件仅记录承诺窗口；不把未来阶段写成已实现
EV011,PRG_NOK_SUPPLY_CONSTRAINT,capacity_constraint,not_applicable,asserted,NOK,,T016,2026-07-23,2026-07-23,exact,,,,全球,Nokia管理层叙事称供应继续是网络行业主要约束,口径混合光网络与IP网络且未识别具体元件；不作为行业事实
EV012,PRG_CIEN_VESTA,product_stage,announced,asserted,CIEN,,T017,2026-02-25,2026-02-25,exact,,,全球,,Ciena发布Vesta 200 6.4T CPX可插拔CPO光引擎,发布与计划展示不等于样品已交付客户或已经量产
EV013,PRG_MTSI_IQE,capital_relationship,not_applicable,corroborated,MTSI,WATCH_IQE,T016,2026-05-28,2026-05-28,exact,,英国,全球,,MACOM完成对IQE的4500万英镑战略投资,MACOM申报与IQE独立披露相互支持；投资不等于外延有效产能增加
EV014,PRG_MTSI_IQE,supply_chain_arrangement,not_applicable,corroborated,MTSI,WATCH_IQE,T016,2026-05-28,2026-05-28,exact,,英国,全球,,MACOM与IQE已订立长期供应协议,协议覆盖多种技术且未披露InP份额数量价格良率或交付
EV015,PRG_CRDO_ZEROFLAP,product_stage,sampling,asserted,CRDO,,T004,2025-10-13,2025-10-13,exact,,,全球,,Credo称400G 800G与1.6T ZeroFlap光模块产品族开始送样,后续GA只覆盖800G 2xDR4 SKU；不能整体提升产品族阶段
