node_id,node_type,name_zh,name_en,definition,status,importance_class,importance_confidence,importance_basis,evidence_ids,as_of,notes
SN-APP-AI-DC-FABRIC,application,AI/超大规模数据中心短距互连,AI/hyperscale DC short-reach interconnect,数据中心叶脊与AI/GPU集群内需要≥800Gb/s、通常≤500m单模或并行光纤的可插拔光互连场景。,admitted,structural_critical,verified,mandatory_for_route=DR8_primary;bottleneck=unknown;substitutability=low_vs_copper_at_reach;affects_key_process=n/a_bom_scope;basis=IEEE_802.3df_DR8_reach_and_use,,2026-07-24,驱动800G DR8；也可由2xFR4覆盖部分楼内更长链路
SN-APP-CAMPUS-SMF,application,园区/楼宇单模互连,Campus/building SMF interconnect,园区或楼宇间约2km单模光纤上的高密度可插拔互连场景（双工光纤友好）。,admitted,structural_critical,verified,mandatory_for_route=2xFR4_primary;bottleneck=unknown;substitutability=medium;affects_key_process=n/a_bom_scope;basis=IEEE_802.3cu_FR4_2km,,2026-07-24,驱动800G 2xFR4（2×400GBASE-FR4）
SN-APP-DCI-METRO,application,数据中心互联/城域点对点DWDM,DCI/metro point-to-point DWDM,数据中心互联与城域放大或未放大点对点DWDM链路上的相干可插拔互连场景（典型≤约120km量级）。,admitted,structural_critical,verified,mandatory_for_route=400ZR;bottleneck=unknown;substitutability=low_vs_grey_optics;affects_key_process=n/a_bom_scope;basis=OIF_400ZR_IA_applications,,2026-07-24,驱动400ZR；OpenZR+/800ZR不在本轮MVP范围
SN-ROUTE-800G-DR8,product_route,800G DR8可插拔直检模块,800G DR8 pluggable direct-detect,对应IEEE 800GBASE-DR8：8路×约106.25GBd PAM4、1310nm并行单模、典型≤500m、MPO类并行光口的可插拔直检模块路线。,admitted,structural_critical,verified,mandatory_for_route=yes;bottleneck=unknown;substitutability=n/a;affects_key_process=n/a;basis=IEEE_802.3df_TIA_FOTC,,2026-07-24,直检；FEC在主机侧；非相干；非CPO/LPO
SN-ROUTE-800G-2XFR4,product_route,800G 2×FR4可插拔直检模块,800G 2xFR4 pluggable direct-detect,以两路独立的400GBASE-FR4光学接口聚合为800G的可插拔直检模块：每路4λ CWDM PAM4、双工LC、典型≤2km。,admitted,structural_critical,verified,mandatory_for_route=yes;bottleneck=unknown;substitutability=n/a;affects_key_process=n/a;basis=IEEE_802.3cu_plus_2x_aggregation_datasheets,,2026-07-24,光学上是2×FR4而非单一800GBASE-FR8；LPO变体不纳入本路线节点
SN-ROUTE-400ZR,product_route,400ZR相干可插拔模块,400ZR coherent pluggable,OIF 400ZR：单载波相干DP-16QAM、模块内低功耗DSP与C-FEC、面向可插拔DCO形态的400G线侧接口路线。,admitted,structural_critical,verified,mandatory_for_route=yes;bottleneck=unknown;substitutability=n/a;affects_key_process=n/a;basis=OIF-400ZR-IA,,2026-07-24,相干可插拔；form factor由MSA另定；非灰光直检
SN-FN-ELEC-HOST-IO,function,主机侧高速电接口,Host-side high-speed electrical I/O,模块与主机之间的重定时高速电通道（如800GAUI-8/400GAUI-4等），完成电域均衡与通道适配。,admitted,structural_critical,verified,mandatory_for_route=all_three;bottleneck=hypothesis_power_serdes;substitutability=low;affects_key_process=assembly_test;basis=IEEE_802.3ck_AUI,,2026-07-24,三路线共用功能；LPO去掉模块侧重定时不在本MVP路线内
SN-FN-OPT-TX,function,光发送,Optical transmit,将电域信号转换为符合目标PHY的光发送信号（直检强度调制或相干IQ调制）。,admitted,structural_critical,verified,mandatory_for_route=all_three;bottleneck=unknown;substitutability=none;affects_key_process=n/a;basis=PHY_definitions,,2026-07-24,功能层；具体实现由部件承担
SN-FN-OPT-RX,function,光接收,Optical receive,将入射光信号转换为电域信号（直检光电探测或相干混频+平衡探测）。,admitted,structural_critical,verified,mandatory_for_route=all_three;bottleneck=unknown;substitutability=none;affects_key_process=n/a;basis=PHY_definitions,,2026-07-24,功能层
SN-FN-MODULE-MGMT,function,模块管理与数字诊断,Module management and DDM,经管理接口（如CMIS/I2C）提供识别、监控、告警与固件能力。,admitted,supporting,verified,mandatory_for_route=typical_pluggable;bottleneck=no;substitutability=medium;affects_key_process=n/a;basis=CMIS_industry_practice,,2026-07-24,非光学差异来源；三路线通常具备
SN-FN-PAM4-SIG,function,PAM4调制解调,PAM4 modulation/demodulation,直检路线中每电/光通道的四电平脉冲幅度调制与解调（符号率约53.125或106.25GBd量级依代际）。,admitted,structural_critical,verified,mandatory_for_route=DR8_2xFR4;bottleneck=hypothesis_dsp_power;substitutability=low;affects_key_process=n/a;basis=IEEE_802.3df_802.3cu,,2026-07-24,仅直检两路线；400ZR用DP-16QAM而非此功能
SN-FN-HOST-FEC-TARGET,function,主机侧FEC预编码目标兼容,Host-side FEC pre-FEC BER target,直检模块需满足主机侧KP4/RS-FEC假设下的预FEC误码与光指标；FEC本身在主机而非模块内实现。,admitted,enabling,verified,mandatory_for_route=DR8_2xFR4;bottleneck=no;substitutability=n/a;affects_key_process=link_budget;basis=IEEE_FR4_DR_host_FEC,,2026-07-24,禁止把主机FEC写成模块component；此处仅为功能约束
SN-FN-PARALLEL-FIBER,function,并行光纤空间复用,Parallel-fiber spatial multiplexing,以多纤并行（8光通道/16纤典型）而非波分承载多通道的光互连方式。,admitted,structural_critical,verified,mandatory_for_route=DR8;bottleneck=hypothesis_fiber_count_ops;substitutability=alt_to_CWDM;affects_key_process=n/a;basis=IEEE_800GBASE-DR8,,2026-07-24,DR8特有相对FR4
SN-FN-CWDM-MUX,function,CWDM波分复用,CWDM wavelength multiplexing,将多路波长合波到双工单模光纤并在接收端分波（FR4网格）。,admitted,structural_critical,verified,mandatory_for_route=2xFR4;bottleneck=hypothesis_mux_il_yield;substitutability=alt_to_parallel_fiber;affects_key_process=n/a;basis=IEEE_802.3cu_CWDM4,,2026-07-24,2xFR4特有相对DR8
SN-FN-COH-MOD,function,相干双偏振调制,Coherent dual-polarization modulation,以DP-16QAM等相干星座在单载波上承载线侧容量。,admitted,structural_critical,verified,mandatory_for_route=400ZR;bottleneck=hypothesis_modulator_bw;substitutability=none_in_ZR;affects_key_process=n/a;basis=OIF_400ZR_DP-16QAM,,2026-07-24,400ZR特有
SN-FN-COH-DETECT,function,相干接收与偏振处理,Coherent detection and polarization handling,本振混频、偏振分集/解复用与平衡探测以恢复同相/正交分量。,admitted,structural_critical,verified,mandatory_for_route=400ZR;bottleneck=hypothesis_icr_integration;substitutability=none_in_ZR;affects_key_process=n/a;basis=OIF_400ZR_coherent_rx,,2026-07-24,400ZR特有
SN-FN-COH-DSP-FEC,function,相干DSP与C-FEC,Coherent DSP and C-FEC,模块内相干DSP完成均衡/载波恢复等并执行级联FEC（C-FEC）以满足OIF误码地板目标。,admitted,structural_critical,hypothesis,mandatory_for_route=400ZR;bottleneck=hypothesis_dsp_power_area;substitutability=low;affects_key_process=n/a;basis=OIF_400ZR_states_low_power_DSP_and_C-FEC;confidence=structure_verified_bottleneck_hypothesis,,2026-07-24,结构必需已由IA确认；功耗/面积瓶颈标hypothesis
SN-FN-DWDM-TUNE,function,DWDM可调谐线侧波长,DWDM tunable line-side wavelength,在DWDM黑链路光谱约束下提供可调谐线侧波长以对接放大链路邻道环境。,admitted,structural_critical,verified,mandatory_for_route=400ZR;bottleneck=hypothesis_laser_linewidth_tuning;substitutability=low;affects_key_process=n/a;basis=OIF_400ZR_black_link_spectral,,2026-07-24,400ZR特有；灰光固定波长不满足该功能
SN-COMP-PLUG-HOUSING,component,可插拔模块壳体与光口机械件,Pluggable housing and optical receptacle mechanics,QSFP-DD/OSFP等MSA定义的可插拔机械壳体、散热结构与光口机械接口（不含CPO共封装）。,admitted,supporting,verified,mandatory_for_route=all_three_pluggable;bottleneck=hypothesis_thermal_envelope_ZR;substitutability=msa_alts;affects_key_process=n/a;basis=OIF_targets_pluggable_DCO_plus_MSA_practice,,2026-07-24,封装形态；禁止把CPO/LPO架构写成该部件
SN-COMP-HPCB,component,高速模块印制板,High-speed module PCB,承载高速电通道、电源分配与器件贴装的模块基板。,admitted,enabling,hypothesis,mandatory_for_route=typical;bottleneck=unknown;substitutability=medium;affects_key_process=assembly;basis=standard_module_bom_hypothesis,,2026-07-24,BOM常识级；无单一标准条款定义故confidence=hypothesis
SN-COMP-DD-DSP,component,直检PAM4 DSP/CDR,Direct-detect PAM4 DSP/CDR,直检可插拔模块内的PAM4重定时/均衡DSP或CDR，对接主机AUI与光驱动/TIA链路。,admitted,structural_critical,hypothesis,mandatory_for_route=DR8_2xFR4_retimed;bottleneck=hypothesis_power_serdes;substitutability=alt_LPO_out_of_scope;affects_key_process=n/a;basis=retimed_module_practice_802.3ck;not_a_process,,2026-07-24,部件不是测试工序；LPO无此芯片不在本路线
SN-COMP-DRIVER,component,激光/调制器驱动IC,Laser/modulator driver IC,为EML/调制器提供高速驱动电流或电压摆幅的驱动芯片。,admitted,enabling,hypothesis,mandatory_for_route=DD_and_often_coherent_frontend;bottleneck=hypothesis_bw_swing;substitutability=partial_integration;affects_key_process=n/a;basis=module_block_diagram_practice,,2026-07-24,可与激光器共封装；仍属部件而非工序
SN-COMP-TIA,component,跨阻放大器,Transimpedance amplifier,将光电探测器光电流转换为电压并提供前端增益的接收电芯片。,admitted,enabling,verified,mandatory_for_route=DD_rx;bottleneck=hypothesis_noise_bw;substitutability=partial_integration;affects_key_process=n/a;basis=standard_DD_receiver_chain,,2026-07-24,直检接收链必需；相干路径由ICR内平衡探测+TIA类前端承担时可部分吸收
SN-COMP-PIN-PD,component,PIN光电探测器,PIN photodetector,直检接收用光电二极管（常为阵列），将光功率转为光电流。,admitted,structural_critical,verified,mandatory_for_route=DR8_2xFR4;bottleneck=unknown;substitutability=alt_APD_rare_in_these_PHYs;affects_key_process=n/a;basis=DD_PHY_receiver,,2026-07-24,仅直检；非相干ICR
SN-COMP-MCU-CMIS,component,模块控制器MCU,Module controller MCU,运行CMIS等管理固件、传感器与内存映射的微控制器。,admitted,supporting,hypothesis,mandatory_for_route=typical_pluggable;bottleneck=no;substitutability=medium;affects_key_process=n/a;basis=CMIS_module_practice,,2026-07-24,supporting
SN-COMP-EML-1310,component,1310nm EML激光器,1310nm EML laser,电吸收调制激光器，用于DR8类单波长并行发送（每通道约1310nm窗口）。,admitted,structural_critical,hypothesis,mandatory_for_route=DR8_discrete_path;bottleneck=hypothesis_eml_supply_yield_bw;substitutability=alt_SiPh_TX;affects_key_process=n/a;basis=industry_DR8_implementations_EML;IEEE_defines_lambda_not_device,,2026-07-24,IEEE规定波长/指标不规定必须EML；器件选型为hypothesis级结构常见实现
SN-COMP-SIPH-TX,component,硅光发送引擎,Silicon-photonics transmit engine,基于硅光平台的发送光学引擎（激光器异质集成或外置激光+硅光调制），作为分立EML路径的替代实现。,admitted,bottleneck_candidate,hypothesis,mandatory_for_route=no_alt_path;bottleneck=hypothesis_laser_integration_yield;substitutability=alt_to_EML;affects_key_process=n/a;basis=hypothesis_from_common_800G_architectures;not_an_architecture_node,,2026-07-24,部件实现路径；硅光是平台/实现不是独立application；与EML alternative_to
SN-COMP-MPO-RECEPTACLE,component,MPO/MTP并行光口,MPO/MTP parallel optical receptacle,DR8并行单模光口机械/光学插座（如双MPO-12或MPO-16等实现变体）。,admitted,structural_critical,verified,mandatory_for_route=DR8;bottleneck=no;substitutability=connector_variant_only;affects_key_process=n/a;basis=IEEE_DR8_MPO_TIA_FOTC_Cisco_DS,,2026-07-24,DR8特有相对LC
SN-COMP-EML-CWDM4,component,CWDM4 EML激光阵列,CWDM4 EML laser array,覆盖1271/1291/1311/1331nm网格的电吸收调制激光器阵列（每FR4口4波长；2xFR4为两组）。,admitted,structural_critical,hypothesis,mandatory_for_route=2xFR4_typical;bottleneck=hypothesis_cwdm_eml_yield;substitutability=alt_other_TX_tech_unknown;affects_key_process=n/a;basis=IEEE_wavelengths_plus_common_EML_impl,,2026-07-24,波长网格verified；EML器件选型hypothesis
SN-COMP-CWDM-MUXDEMUX,component,CWDM合分波器件,CWDM mux/demux optics,将FR4四波长合波/分波的光学器件（薄膜滤波/PLC等实现）。,admitted,structural_critical,verified,mandatory_for_route=2xFR4;bottleneck=hypothesis_IL_crosstalk_yield;substitutability=low_for_FR4;affects_key_process=n/a;basis=FR4_requires_mux_on_duplex_fiber,,2026-07-24,2xFR4特有相对DR8并行
SN-COMP-LC-RECEPTACLE,component,双工LC光口,Duplex LC optical receptacle,2xFR4模块上两组双工LC光口（每组对应一个400G-FR4）。,admitted,structural_critical,verified,mandatory_for_route=2xFR4;bottleneck=no;substitutability=connector_variant_only;affects_key_process=n/a;basis=2xFR4_datasheets_dual_LC,,2026-07-24,相对DR8的MPO
SN-COMP-ITL,component,可调谐窄线宽激光器,Tunable narrow-linewidth laser,为相干发射/本振提供可调谐窄线宽光源（线侧DWDM）。,admitted,bottleneck_candidate,hypothesis,mandatory_for_route=400ZR;bottleneck=hypothesis_linewidth_power_tuning_speed;substitutability=low;affects_key_process=n/a;basis=coherent_TX_LO_required_by_ZR_architecture;device_spec_hypothesis,,2026-07-24,结构上相干链路需要光源+本振；具体器件指标瓶颈为hypothesis
SN-COMP-IQ-MOD,component,IQ调制器/相干发送前端,IQ modulator / coherent TX frontend,实现I/Q与偏振调制的光学前端（分立或PIC集成）。,admitted,structural_critical,hypothesis,mandatory_for_route=400ZR;bottleneck=hypothesis_bw_vpi_integration;substitutability=low;affects_key_process=n/a;basis=DP-16QAM_requires_IQ_mod;impl_hypothesis,,2026-07-24,功能必需→部件映射；实现形态hypothesis
SN-COMP-ICR,component,集成相干接收机,Integrated coherent receiver,含偏振分集光学混合器与平衡探测器的相干接收组件。,admitted,structural_critical,hypothesis,mandatory_for_route=400ZR;bottleneck=hypothesis_hybrid_pd_integration;substitutability=low;affects_key_process=n/a;basis=coherent_detection_block;impl_hypothesis,,2026-07-24,400ZR特有相对PIN直检
SN-COMP-COH-DSP,component,相干DSP芯片,Coherent DSP IC,执行相干解调算法与C-FEC编解码的数字信号处理器芯片。,admitted,bottleneck_candidate,hypothesis,mandatory_for_route=400ZR;bottleneck=hypothesis_power_area_in_pluggable;substitutability=low;affects_key_process=n/a;basis=OIF_requires_DSP_and_C-FEC;pluggable_power_hypothesis,,2026-07-24,OIF明确DSP+C-FEC；可插拔功耗/面积瓶颈hypothesis
