文件,词,引语(±40字)
301479__em_弘景光电_em__2025_2025年年度报告.pdf,隔离器,制造等方面与光件)通信中的光无源器件开发适用于1.6T硅光模块和EML(如透镜、隔离器)等市场需求对FA提出了更高要求，全光交换用光试样方案模块的FA-MT产品，产品
301479__em_弘景光电_em__2025_2025年年度报告.pdf,光纤阵列,"间，按照特定协议传输数字信息的过程。其核心目标是实现信息的可靠、准确、高效传输。光纤阵列（FiberArray,FA）是一种通过精密加工技术将光纤固定在基片上形FA指成"
301479__em_弘景光电_em__2025_2025年年度报告.pdf,光纤阵列,学设计、精密制造等方面的优势，成功开发了多款光通信中的光无源器件（如非球面透镜、光纤阵列组件等）。报告期内，公司新增发明专利53项、实用新型专利34项及PCT专利1项，
688183__em_生益电子_em__2025_生益电子2025年年度报告.pdf,光模块PCB,B制作技术、高多层PTFEPCB加工技术、高多层低损PCB加工技术、1.6T高速光模块PCB制作技术、埋空腔技术、高多层N+M结构PCB制作技术、高多层厚铜技术、内埋平面电
688183__em_生益电子_em__2025_生益电子2025年年度报告.pdf,光模块PCB,B制作技术、高多层PTFEPCB加工技术、高多层低损PCB加工技术、1.6T高速光模块PCB制作技术、埋空腔技术、高多层N+M结构PCB制作技术、高多层厚铜技术、内埋17/
688183__em_生益电子_em__2025_生益电子2025年年度报告.pdf,光模块PCB,"端AI服务器的高端印制电先进服务器领域的研究开发路板，并实现产业化。研究开发高速光模块PCB产品新一代高端光通信通讯领域、消820,000,000.0024,775,184"
300308__em_中际旭创_em__2025_2025年年度报告.pdf,TOSA,器件和无源光器件。光芯片在光模块成本中占比较高。简单来看，光模块主要由光发射组件TOSA、光接收组件ROSA、电路板PCBA、光纤收发接口所构成，其中TOSA和ROSA
300308__em_中际旭创_em__2025_2025年年度报告.pdf,TOSA,光发射组件TOSA、光接收组件ROSA、电路板PCBA、光纤收发接口所构成，其中TOSA和ROSA是光模块成本中的主要部分。TOSA的主体为激光器芯片（VCSEL、DF
300308__em_中际旭创_em__2025_2025年年度报告.pdf,TOSA,板PCBA、光纤收发接口所构成，其中TOSA和ROSA是光模块成本中的主要部分。TOSA的主体为激光器芯片（VCSEL、DFB、EML等），ROSA的主体为探测器芯片（
300308__em_中际旭创_em__2025_2025年年度报告.pdf,ROSA,芯片在光模块成本中占比较高。简单来看，光模块主要由光发射组件TOSA、光接收组件ROSA、电路板PCBA、光纤收发接口所构成，其中TOSA和ROSA是光模块成本中的主要
300308__em_中际旭创_em__2025_2025年年度报告.pdf,ROSA,TOSA、光接收组件ROSA、电路板PCBA、光纤收发接口所构成，其中TOSA和ROSA是光模块成本中的主要部分。TOSA的主体为激光器芯片（VCSEL、DFB、EML
300308__em_中际旭创_em__2025_2025年年度报告.pdf,ROSA,块成本中的主要部分。TOSA的主体为激光器芯片（VCSEL、DFB、EML等），ROSA的主体为探测器芯片（APD/PIN等）。光芯片中高端芯片目前具备量产能力的供应商
300308__em_中际旭创_em__2025_2025年年度报告.pdf,跨阻放大,iver（驱动芯片）和TIA（Trans-ImpedanceAmplifier，跨阻放大器），并分别集成CTLE（ContinuousTimeLinearEqualiz
300308__em_中际旭创_em__2025_2025年年度报告.pdf,跨阻放大,目前国内已有部分厂商可实现批量供应。电芯片包括DSP芯片、激光驱动器（LDD）、跨阻放大器（TIA）、时钟数据恢复芯片（CDR）等，其中200G及以上速率的供应商主要在
300308__em_中际旭创_em__2025_2025年年度报告.pdf,TIA,R（时钟数据恢复）芯片，光模块中，只留下具有高线性度的Driver（驱动芯片）和TIA（Trans-ImpedanceAmplifier，跨阻放大器），并分别集成CT
300308__em_中际旭创_em__2025_2025年年度报告.pdf,TIA,部分厂商可实现批量供应。电芯片包括DSP芯片、激光驱动器（LDD）、跨阻放大器（TIA）、时钟数据恢复芯片（CDR）等，其中200G及以上速率的供应商主要在海外，10
688146__em_中船特气_em__2025_中船特气2025年年度报告.pdf,磷烷,型。截至报告期末，公司产品由85种增加至95种，新增产品包括五氟乙烷、七氟丙烷、磷烷混气、砷烷混气等。主要产品具体如下：1.电子特种气体14/314中船（邯郸）派瑞
