edge_id,source_node_id,target_node_id,relation_type,route_scope,requiredness,evidence_ids,notes
SE-CLD-001,SN-PRC-101,SN-PRC-100,part_of,all,mandatory,,
SE-CLD-002,SN-PRC-102,SN-PRC-100,part_of,all,mandatory,,DFB/EML类光源必需;FP等无光栅结构不适用、本轮路线均为单纵模光源
SE-CLD-003,SN-PRC-103,SN-PRC-100,part_of,all,mandatory,,
SE-CLD-004,SN-PRC-104,SN-PRC-100,part_of,all,mandatory,,
SE-CLD-005,SN-PRC-105,SN-PRC-100,part_of,all,optional,,取决于掩埋/脊波导结构设计
SE-CLD-006,SN-PRC-106,SN-PRC-100,part_of,all,mandatory,,
SE-CLD-007,SN-PRC-107,SN-PRC-100,part_of,all,mandatory,,
SE-CLD-008,SN-PRC-108,SN-PRC-100,part_of,all,mandatory,,
SE-CLD-009,SN-PRC-109,SN-PRC-100,part_of,all,mandatory,,
SE-CLD-010,SN-PRC-110,SN-PRC-100,part_of,all,mandatory,,
SE-CLD-011,SN-PRC-111,SN-PRC-100,part_of,all,mandatory,,筛选比例与时长各厂不同
SE-CLD-012,SN-PRC-201,SN-PRC-200,part_of,800G-DR8;400ZR,mandatory,,
SE-CLD-013,SN-PRC-202,SN-PRC-200,part_of,800G-DR8;400ZR,mandatory,,
SE-CLD-014,SN-PRC-203,SN-PRC-200,part_of,800G-DR8;400ZR,mandatory,,
SE-CLD-015,SN-PRC-204,SN-PRC-200,part_of,800G-DR8;400ZR,mandatory,,
SE-CLD-016,SN-PRC-205,SN-PRC-200,part_of,800G-DR8;400ZR,mandatory,,
SE-CLD-017,SN-PRC-206,SN-PRC-200,part_of,800G-DR8;400ZR,mandatory,,
SE-CLD-018,SN-PRC-301,SN-PRC-300,part_of,all,mandatory,,
SE-CLD-019,SN-PRC-302,SN-PRC-300,part_of,all,mandatory,,
SE-CLD-020,SN-PRC-303,SN-PRC-300,part_of,800G-DR8;400ZR,route_specific,,主要用于硅光方案EIC-PIC互连
SE-CLD-021,SN-PRC-304,SN-PRC-300,part_of,all,mandatory,,
SE-CLD-022,SN-PRC-305,SN-PRC-300,part_of,800G-2xFR4,route_specific,,FR4路线定义性光学工序
SE-CLD-023,SN-PRC-306,SN-PRC-300,part_of,all,mandatory,,DR8八纤并行必需;其他路线亦常用
SE-CLD-024,SN-PRC-307,SN-PRC-300,part_of,800G-DR8;400ZR,route_specific,,仅硅光方案需要外部光源集成
SE-CLD-025,SN-PRC-308,SN-PRC-300,part_of,400ZR,unknown,,可插拔相干模块气密性要求待核
SE-CLD-026,SN-PRC-309,SN-PRC-300,part_of,all,mandatory,,
SE-CLD-027,SN-PRC-401,SN-PRC-400,part_of,all,mandatory,,
