node_id,node_type,name_zh,name_en,definition,status,importance_class,importance_confidence,importance_basis,evidence_ids,as_of,notes
SN-PRC-100,process,III-V光芯片制造,III-V Optical Chip Fabrication,InP基激光器、EML、探测器等III-V族光芯片从外延生长到芯片级筛选的晶圆制造与芯片化流程,proposed,structural_critical,hypothesis,三条样板路线的光源均为III-V芯片(DR8为EML方案、FR4为CWDM EML、400ZR为可调谐激光器);路线必需性待structure证据,,2026-07-24,与SN-PRC-200构成芯片层并行分支;DR8光引擎层面与硅光方案互为替代(见SE-CLD-086)
SN-PRC-200,process,硅光子PIC制造,Silicon Photonics PIC Fabrication,基于SOI晶圆的硅光子集成芯片制造流程、通常在CMOS代工线完成,proposed,structural_critical,hypothesis,800G DR8与400ZR的主流实现路径之一;FR4路线通常不采用(待structure证据),,2026-07-24,适用路线:800G-DR8;400ZR
SN-PRC-300,process,光组件与封装,Optical Component & Packaging,光芯片向可用光组件转化的封装与光学装配环节、含CoC、倒装、光学元件、合分波与光纤阵列,proposed,structural_critical,hypothesis,全路线必经的中间层;具体子工序构成随方案差异大,,2026-07-24,
SN-PRC-400,process,模块组装,Module Assembly,光电组件、PCBA与结构件集成为可插拔模块的组装流程,proposed,structural_critical,hypothesis,全路线必经,,2026-07-24,
SN-PRC-500,process,模块测试与老化,Module Test & Burn-in,模块级调试校准、老化、环境筛选与出货测试流程,proposed,structural_critical,hypothesis,全路线必经;测试项构成随路线差异大,,2026-07-24,
SN-PRC-101,process,InP外延生长,InP Epitaxial Growth,在InP衬底上生长量子阱有源区、限制层等外延结构,proposed,bottleneck_candidate,hypothesis,外延层质量直接决定激光器性能与良率;高速EML外延被普遍视为高壁垒环节(假设、待structure证据),,2026-07-24,
SN-PRC-102,process,光栅制作,Grating Fabrication,DFB/EML所需分布反馈光栅的曝光与刻蚀,proposed,enabling,hypothesis,决定单纵模工作与波长稳定性(假设),,2026-07-24,
SN-PRC-103,process,III-V晶圆光刻,III-V Wafer Lithography,波导、台面与电极图形的光刻,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-104,process,III-V刻蚀,III-V Etching,台面与波导的干法/湿法刻蚀,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-105,process,掩埋再生长,Buried Regrowth,掩埋异质结构所需的二次外延、是否需要取决于芯片结构设计,proposed,enabling,hypothesis,掩埋结构工艺难度高(假设);脊波导结构可省略本工序,,2026-07-24,requiredness为optional、见边注
SN-PRC-106,process,介质沉积与金属化,Dielectric Deposition & Metallization,钝化介质沉积与正面电极金属化,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-107,process,晶圆减薄与背面工艺,Wafer Thinning & Backside Process,晶圆减薄、背面金属化,proposed,supporting,unknown,,,2026-07-24,
SN-PRC-108,process,解理与巴条切割,Cleaving & Bar Separation,晶圆解理为巴条并分割为单颗芯片,proposed,enabling,hypothesis,解理面质量影响端面与良率(假设),,2026-07-24,
SN-PRC-109,process,端面镀膜,Facet Coating,激光器端面AR/HR镀膜,proposed,enabling,hypothesis,端面膜层是出光效率与可靠性关键(假设),,2026-07-24,
SN-PRC-110,process,芯片测试,Chip-level Test,巴条/单颗芯片的LIV与光谱测试,proposed,enabling,unknown,,,2026-07-24,
SN-PRC-111,process,芯片级老化筛选,Chip-level Burn-in Screening,激光器芯片高温加电筛选早期失效,proposed,enabling,hypothesis,激光器可靠性筛选的行业惯例(假设、各厂比例待核),,2026-07-24,
