validation_id,theme_id,claim_a_id,claim_b_id,relationship,result_status,rationale
V001,T002,CL006,CL007,independent,insufficient,AAOI供给侧明确称收入受产能与供应链限制；Cisco的21亿美元是硅片、系统与光学合计订单且未直接说光模块供给受限，故不足以交叉验证行业卡点
V002,T003,CL001,CL002,same_source,partially_supported,同一AAOI官方新闻稿同时给出首次批量交付和月产能，能支持公司级进展但不构成独立交叉验证
V003,T004,CL008,CL012,same_source,insufficient,同一句官方prepared remarks包含两个产品发布事件；拆成原子陈述后仍只是同源发布信息，不能互证部署规模
V004,T007,CL013,CL015,same_source,company_claim_only,同一AAOI电话会中CEO与CFO分别谈到多激光器需求和InP激光器产能短缺；仍是同公司同源主张
V005,T007,CL015,CL027,supports,partially_supported,AAOI与Lumentum两家公司独立支持高速InP或EML激光器有效产能偏紧；Lumentum没有提到MOCVD backlog，因此只加强产能约束候选而不验证AAOI的设备积压说法
V006,T007,CL015,CL028,supports,partially_supported,AAOI与Coherent独立称行业存在InP激光器制造能力约束；Coherent没有提到MOCVD设备积压，因此不能验证AAOI的具体设备卡点
V007,T007,CL027,CL028,supports,partially_supported,Lumentum称EML供需缺口超过30%且Coherent称InP为行业约束；两者共同增强高速InP或EML有效产能偏紧判断但未证明所有器件类别均短缺
V008,T016,CL032,CL036,supports,partially_supported,Fabrinet与Arista分别从制造服务商和网络系统商侧确认多类关键组件约束使供给低于需求；两者均未量化光学份额或具体速率缺口
V009,T003,CL001,CL034,supports,partially_supported,AAOI完成800G首次批量交付且Fabrinet确认两个超大规模客户scale-out项目均为800G；支持800G制造项目扩散但Fabrinet没有披露交付规模
V010,T017,CL026,CL035,supports,partially_supported,Lumentum与Fabrinet分别披露CPO或合并CPO相关业务已有初始但较小的收入贡献；支持早期商业化而非规模成熟
V011,T017,CL035,CL039,supports,partially_supported,Fabrinet已有少量CPO收入但Arista仍把开放CPO视为数年后的早期路径；显示不同产业环节进度不一且整体尚未成熟
V013,T018,CL041,CL048,supports,partially_supported,NVIDIA网络收入与Broadcom AI半导体收入均显示AI网络相关需求扩张；两者都未拆出光模块或光器件份额因此只能验证非光学需求背景
