"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202401","85177950","光通信设备的激光收发模块","257644","千克","0","?","3,175,875,242",
"202402","85177950","光通信设备的激光收发模块","228453","千克","0","?","2,771,437,517",
"202403","85177950","光通信设备的激光收发模块","325654","千克","0","?","3,569,082,775",
"202404","85177950","光通信设备的激光收发模块","314989","千克","0","?","3,851,645,172",
"202405","85177950","光通信设备的激光收发模块","325597","千克","0","?","4,109,557,740",
"202406","85177950","光通信设备的激光收发模块","347548","千克","0","?","4,119,982,309",
"202407","85177950","光通信设备的激光收发模块","331285","千克","0","?","3,757,933,817",
"202408","85177950","光通信设备的激光收发模块","353987","千克","0","?","3,678,571,761",
"202409","85177950","光通信设备的激光收发模块","338059","千克","0","?","3,605,431,318",
"202410","85177950","光通信设备的激光收发模块","341862","千克","0","?","3,768,709,012",
"202411","85177950","光通信设备的激光收发模块","365072","千克","0","?","4,037,765,747",
"202412","85177950","光通信设备的激光收发模块","369744","千克","0","?","3,910,847,880",
