edge_id,source_node_id,target_node_id,relation_type,route_scope,requiredness,evidence_ids,notes
SE-APP-AI-DR8,SN-APP-AI-DC-FABRIC,SN-ROUTE-800G-DR8,drives,SN-ROUTE-800G-DR8,mandatory,,AI短距并行单模主路线;integrated_from=WP-GROK
SE-APP-AI-2XFR4,SN-APP-AI-DC-FABRIC,SN-ROUTE-800G-2XFR4,drives,SN-ROUTE-800G-2XFR4,route_specific,,楼内/机房间需要双工光纤或更长链路时可选;integrated_from=WP-GROK
SE-APP-CAMPUS-2XFR4,SN-APP-CAMPUS-SMF,SN-ROUTE-800G-2XFR4,drives,SN-ROUTE-800G-2XFR4,mandatory,,2km双工SMF主路线;integrated_from=WP-GROK
SE-APP-CAMPUS-DR8,SN-APP-CAMPUS-SMF,SN-ROUTE-800G-DR8,drives,SN-ROUTE-800G-DR8,optional,,仅当距离与并行光纤布线允许时;integrated_from=WP-GROK
SE-APP-DCI-ZR,SN-APP-DCI-METRO,SN-ROUTE-400ZR,drives,SN-ROUTE-400ZR,mandatory,,OIF 400ZR应用域;integrated_from=WP-GROK
SE-DR8-ELEC,SN-ROUTE-800G-DR8,SN-FN-ELEC-HOST-IO,implements,SN-ROUTE-800G-DR8,mandatory,,800GAUI-8类主机电接口;integrated_from=WP-GROK
SE-DR8-TX,SN-ROUTE-800G-DR8,SN-FN-OPT-TX,implements,SN-ROUTE-800G-DR8,mandatory,,integrated_from=WP-GROK
SE-DR8-RX,SN-ROUTE-800G-DR8,SN-FN-OPT-RX,implements,SN-ROUTE-800G-DR8,mandatory,,integrated_from=WP-GROK
SE-DR8-MGMT,SN-ROUTE-800G-DR8,SN-FN-MODULE-MGMT,implements,SN-ROUTE-800G-DR8,mandatory,,integrated_from=WP-GROK
SE-DR8-PAM4,SN-ROUTE-800G-DR8,SN-FN-PAM4-SIG,implements,SN-ROUTE-800G-DR8,mandatory,,integrated_from=WP-GROK
SE-DR8-FEC,SN-ROUTE-800G-DR8,SN-FN-HOST-FEC-TARGET,implements,SN-ROUTE-800G-DR8,mandatory,,主机侧FEC假设;integrated_from=WP-GROK
