disclosure_id,publisher_entity_id,legacy_source_id,title,disclosure_type,content_class,provenance_class,canonical_url,local_path,content_hash,origin_group,published_at,updated_at,discovered_at,retrieved_at,reviewed_at,retrieval_status,processing_status,review_scope,notes
D_AAOI_20260309_ORDER,AAOI,S_AAOI_1P6_ORDER_A,AOI Receives First Volume Order of 1.6T Data Center Transceivers from Major Hyperscale Customer,official_release,commercial_disclosure,first_party,https://investors.ao-inc.com/node/16751,,,OG_AAOI_20260309_ORDER,2026-03-09,,2026-08-04,2026-08-04,2026-08-09,retrieved,anchor_reviewed,标题及首段订单事实,公司官方公告
D_LITE_20260430_BLOG,LITE,S_LITE_BLOG_20260430,Enabling the Next Phase of AI Optical Infrastructure,technical_blog,demonstration_disclosure,first_party,https://www.lumentum.com/en/blog/enabling-next-phase-ai-optical-infrastructure,,,OG_LITE_20260430_BLOG,2026-04-30,,2026-08-06,2026-08-06,2026-08-09,retrieved,anchor_reviewed,与CL017对应的现场演示段落,公司官网署名技术博客
D_AVGO_20260311_TAURUS,AVGO,,Broadcom Delivers Industry's First 400G/lane Optical DSP,official_release,technical_disclosure,first_party,https://investors.broadcom.com/news-releases/news-release-details/broadcom-delivers-industrys-first-400glane-optical-dsp-next,,,OG_AVGO_20260311_TAURUS,2026-03-11,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,Availability首段,公司官方产品公告；sampling不等于客户认证或量产
D_MRVL_20260312_ARA,MRVL,,Marvell Expands 1.6T Optical DSP Platform Portfolio,official_release,commercial_disclosure,first_party,https://investor.marvell.com/news-events/press-releases/detail/1013/marvell-ushers-in-the-1-6t-era-with-expanded-optical-dsp-platform-portfolio-redefining-ai-data-center-end-to-end-connectivity,,,OG_MRVL_20260312_ARA,2026-03-12,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,Ara产品段落,公司对mass volume的第一方陈述；未获得客户独立确认
D_NOK_20251023_800G,NOK,S_NOK_2025Q3,Nokia Q3 2025 results: 800G coherent pluggables shipping,official_release,commercial_disclosure,first_party,https://www.nokia.com/newsroom/nokia-corporation-interim-report-for-q3-2025-789295/,,,OG_NOK_20251023_800G,2025-10-23,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,CEO Q3 comments中Network Infrastructure段落,客户未具名；相干可插拔不能等同短距数通模块
D_CIEN_20260331_WL6E,CIEN,,Vodafone Idea Deploys Ciena WaveLogic 6 Extreme,official_release,demonstration_disclosure,first_party,https://investor.ciena.com/news/news-details/2026/Vodafone-Idea-Deploys-Cienas-WaveLogic-6-Extreme-to-Deliver-High-Capacity-Connectivity-03-31-2026/default.aspx,,,OG_CIEN_20260331_WL6E,2026-03-31,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,Summary第二条,发布者仍为Ciena；具名客户出现在同一披露中不构成独立来源
D_MTSI_20260317_448G,MTSI,,MACOM Announces Two New 448G per Lane Drivers,official_release,technical_disclosure,first_party,https://ir.macom.com/news-releases/news-release-details/macom-announces-two-new-448g-lane-drivers-32t-data-center/,,,OG_MTSI_20260317_448G,2026-03-17,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,LOWELL开头首段,available只表示产品可获得；不证明模块量产或客户认证
D_CRDO_20260317_ZEROFLAP,CRDO,,Credo Launches 800G ZeroFlap Optical Transceivers,official_release,commercial_disclosure,first_party,https://investors.credosemi.com/news-events/news/news-details/2026/Credo-Launches-800G-ZeroFlap-Optical-Transceivers-Engineered-for-AI-Networks/default.aspx,,,OG_CRDO_20260317_ZEROFLAP,2026-03-17,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,SAN JOSE开头首段,GA按announced记录；不推导规模出货或客户采用
D_AVGO_20250904_Q3,AVGO,S_AVGO_2025Q3,Broadcom FY2025 Q3 financial results,official_release,corporate_narrative,first_party,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-third-quarter-fiscal-year-2025-financial,,,OG_AVGO_20250904_Q3,2025-09-04,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,CEO引述与AI收入段落,AI收入仅作非光学需求背景；未披露光模块或光器件份额
D_AVGO_20251211_Q4,AVGO,S_AVGO_2025Q4,Broadcom FY2025 Q4 and fiscal-year results,official_release,corporate_narrative,first_party,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2025,,,OG_AVGO_20251211_Q4,2025-12-11,,2026-08-11,2026-08-11,2026-08-11,retrieved,anchor_reviewed,CEO引述与AI半导体收入段落,AI半导体收入未拆分以太网交换芯片与光学产品
