hit_id,公司,cell_id,来源,引语或线索摘要,处置,理由,会话日期
ALFAFONET ENDUSTRIYEL TELEKOM URUNLERI A.S.+MOD1+迁移,ALFAFONET ENDUSTRIYEL TELEKOM URUNLERI A.S.,MOD1,人工,（类型）模块/光电子商,驳回-移交海外,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):discovery——无源光连接(跳线/配线/ODF),不外推为高速光模块厂;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
ATX Networks+EQ3+迁移,ATX Networks,EQ3,人工,（类型）CATV设备商,驳回-移交海外,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):discovery——CATV/HFC/FTTH宽带接入,与AI数通高速模块分开,未过watch闸门;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
Acacia+C5+迁移,Acacia,C5,人工,（类型）相干光器件/DSP,驳回-非本格,"驳回-非本格(C5:实体归并:2021被Cisco收购;FY2025 Cisco 10-K中Acacia硅光/相干DSP完全不可见(仅摊销与诉讼脚注),电芯片自述缺失;待Acacia/Cisco硅光自述语料重启C4/C5评估)",2026-07-30
Applied Optoelectronics(AAOI)+MOD1+迁移,Applied Optoelectronics(AAOI),MOD1,人工,（类型）光模块厂,已入点,已入点:P226@MOD1+P227@C1+P228@MOD3+P229@D12(800G量产+Sugar Land自有激光器芯片厂;1.6T客户认证阶段注记),2026-07-30
Ciena+EQ3+迁移,Ciena,EQ3,人工,（类型）系统设备商,驳回-非本格,驳回-非本格(EQ3:Ciena为光传输系统商不造贴片固晶设备;相干可插拔已入MOD2=P218),2026-07-30
Cisco+EQ3+迁移,Cisco,EQ3,人工,（类型）网络设备OEM,驳回-非本格,"驳回-非本格(EQ3:系统商不造贴片固晶设备;pluggable optics已入MOD3=P219;Acacia硅光10-K不可见,C4待Acacia自述语料)",2026-07-30
Cloud Light Technology Limited+MOD1+迁移,Cloud Light Technology Limited,MOD1,人工,（类型）模块/光电子商,驳回-移交海外,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):历史身份——2023-11-07 Lumentum完成收购,海外层REL_CLOUDLIGHT_LITE已登记,不重复计票;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
Coherent++迁移,Coherent,,人工,光器件/模块厂（类型跨层，本表暂归器件层）,已入点,"已入点:P218-P225九格(MOD1/MOD2/C1/C2/C3/C5/C6/D6/D13,垂直一体化,Networking分部$3,421M+49%)",2026-07-30
FOSTEC+MOD1+迁移,FOSTEC,MOD1,人工,（类型）模块/光电子商,驳回-移交海外,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):discovery——光连接/硅光发现候选,未过watch持续高价值事件闸门;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
Fibracem Teleinformática Ltda.+MOD1+迁移,Fibracem Teleinformática Ltda.,MOD1,人工,（类型）模块/光电子商,驳回-移交海外,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):discovery——光网络无源基础设施(光缆/接续/机架),非MOD1光模块厂;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
Infinera+EQ3+迁移,Infinera,EQ3,人工,（类型）系统设备商,驳回-非本格,"驳回-非本格(EQ3:系统商不造贴片固晶设备;实体归并:2025-02-28被Nokia收购,相干业务已随Nokia入P240,不重复立点)",2026-07-30
Intel(含其代工厂)++迁移,Intel(含其代工厂),,人工,（类型）光/电芯片,驳回-证据不足,"驳回-证据不足(FY2025 10-K全文零silicon photonics/optical/transceiver字样,网络产品为电侧以太网控制器;可重启:补IR/历史10-K硅光自述语料或自述文件)",2026-07-30
KUMPULAN ABEX SDN BHD+MOD1+迁移,KUMPULAN ABEX SDN BHD,MOD1,人工,（类型）模块/光电子商,驳回-移交海外,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):discovery——光纤测试仪器分销/服务与项目角色,非制造主体;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
Kaiam Corporation+MOD1+迁移,Kaiam Corporation,MOD1,人工,（类型）模块/光电子商,驳回-主体退出,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):主体退出经营/资产处置——母公司进入California ABC(非已证实Chapter11),英国两子公司已注销,PLC资产2019年售予博创;未取得Delaware最终注销文件,不宣称法人已注销;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
Lumentum++迁移,Lumentum,,人工,（类型）光器件厂,已入点,已入点:P230-P236七格(C1/C2/C3/C6/MOD1/MOD2/MOD3;NeoPhotonics归并注记;C5自研DSP已终止驳回),2026-07-30
NeoPhotonics++迁移,NeoPhotonics,,人工,（类型）光器件厂(已消亡),驳回-碰撞,"实体归并:2022-08被Lumentum收购($934.4M),相干能力已随Lumentum P233@C6/P235@MOD2归并,不重复立点",2026-07-30
Nokia+EQ3+迁移,Nokia,EQ3,人工,（类型）系统设备商,驳回-非本格,驳回-非本格(EQ3:系统商不造贴片固晶设备;Infinera归并已入MOD2=P240),2026-07-30
Out Line S.r.l.+MOD1+迁移,Out Line S.r.l.,MOD1,人工,（类型）模块/光电子商,驳回-移交海外,"维持待判:宇宙外私有/境外主体,无A股/SEC披露通道,待官网道或对应市场披露;迁移行历史线索保留(2026-07-30核)｜2026-08-23核销(codex对表rev39):discovery——光缆/配线/数据中心无源基础设施,非有源MOD1;详见docs/research/2026-08-overseas-pending-handoff-11.md",2026-08-23
