gap_id,node_id,route_scope,gap_type,priority,status,reason,next_question,completion_condition,owner,evidence_ids,updated_at,notes
GAP-0001,SN-COMP-COH-DSP,SN-ROUTE-400ZR,player_gap,P1,identified,key node SN-COMP-COH-DSP (bottleneck_candidate) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0002,SN-COMP-CWDM-MUXDEMUX,SN-ROUTE-800G-2XFR4,player_gap,P0,identified,key node SN-COMP-CWDM-MUXDEMUX (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0003,SN-COMP-DD-DSP,SN-ROUTE-800G-DR8,player_gap,P0,identified,key node SN-COMP-DD-DSP (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0004,SN-COMP-ICR,SN-ROUTE-400ZR,player_gap,P0,identified,key node SN-COMP-ICR (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0005,SN-COMP-IQ-MOD,SN-ROUTE-400ZR,player_gap,P0,identified,key node SN-COMP-IQ-MOD (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0006,SN-COMP-ITL,SN-ROUTE-400ZR,player_gap,P1,identified,key node SN-COMP-ITL (bottleneck_candidate) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0007,SN-COMP-LC-RECEPTACLE,SN-ROUTE-800G-2XFR4,player_gap,P0,identified,key node SN-COMP-LC-RECEPTACLE (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0008,SN-COMP-MPO-RECEPTACLE,SN-ROUTE-800G-DR8,player_gap,P0,identified,key node SN-COMP-MPO-RECEPTACLE (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0009,SN-COMP-PIN-PD,SN-ROUTE-800G-DR8,player_gap,P0,identified,key node SN-COMP-PIN-PD (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0010,SN-COMP-SIPH-TX,SN-ROUTE-800G-DR8,player_gap,P1,identified,key node SN-COMP-SIPH-TX (bottleneck_candidate) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0011,SN-EQC-01,,player_gap,P1,identified,key node SN-EQC-01 (bottleneck_candidate) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0012,SN-EQC-15,,player_gap,P1,identified,key node SN-EQC-15 (bottleneck_candidate) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0013,SN-PRC-100,,player_gap,P0,identified,key node SN-PRC-100 (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0014,SN-PRC-101,,player_gap,P1,identified,key node SN-PRC-101 (bottleneck_candidate) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
GAP-0015,SN-PRC-300,,player_gap,P0,identified,key node SN-PRC-300 (structural_critical) has no organization capability mapping (structural hole - no player covers it),Which organization can perform/produce this node?,At least one capability record mapping an org to this node,WP-HY3,,2026-07-24,
