row_id,公司,cell_id,期间,出货量,单位,推导式,收入输入,收入锚,ASP输入,ASP锚,海关上限检,海关锚,产能天顶检,产能锚,证据等级,情景标记,校准实际值,误差,校准日期,检索日期
SE001,中际旭创,MOD1,2025年度,2109,万只,"2025年报""生产经营和投资项目情况""表直接披露(光通信收发模块:产能2,806万只/产量2,376万只/销量2,109万只/营收37,456,518,745.90元/毛利率42.61%;上年销量1,459万只);隐含混合ASP=营收÷销量≈1,776元/只","37,456,518,745.90元(2025年报产销表)",https://static.cninfo.com.cn/finalpage/2026-03-31/1225056459.PDF,"隐含混合ASP≈1,776元/只(量价齐露自算,非型号级)",同收入锚,"2025中国关境85177950总出口$5.19B;注记:旭创营收含泰国/马来等海外产能出货(不计入中国关境),量级相符不直接可比",corpus/legacy-input/customs-85177950-2025-breakdown-usd.csv,"销量2,109万只≤产能2,806万只(隐含利用率75.2%),通过",同收入锚,B,base,,,,2026-08-08
SE002,新易盛,MOD1,2025年度,1603,万只,"2025年报产销表直接披露(光互联产品:产能1,747万只/产量1,634万只/销量1,603万只/营收24,771,155,676.88元/毛利率47.81%;上年销量877万只);隐含混合ASP≈1,545元/只","24,771,155,676.88元(2025年报产销表)",https://static.cninfo.com.cn/finalpage/2026-04-24/1225172598.PDF,"隐含混合ASP≈1,545元/只(量价齐露自算)",同收入锚,"同SE001口径注记;营收247.71亿元≈$34.6亿,与行业出口$5.19B同量级(海外产能出货不计入中国关境)",corpus/legacy-input/customs-85177950-2025-breakdown-usd.csv,"销量1,603万只≤产能1,747万只(91.8%),通过",同收入锚,B,base,,,,2026-08-08
SE003,天孚通信,D系聚合,2025年度,25423.34,万个,"2025年报产销表直接披露(光通信元器件:产能63,654.49万个/产量47,383.50万个/销量25,423.34万个/营收5,082,331,376.50元/毛利率53.62%;产量同比+42.58%/销量+21.78%);口径注记:含内部产品线间领用(年报原文仅指产能、产量)","5,082,331,376.50元(2025年报产销表光通信元器件)",https://static.cninfo.com.cn/finalpage/2026-04-08/1225082705.PDF,"隐含混合ASP≈20.0元/个(元器件聚合口径,非单器件)",同收入锚,"元器件非终端模块,海关85177950口径不适用",-,"销量25,423.34万个≤产能63,654.49万个,通过",同收入锚,B,base,,,"2026-08-10 codex验收勘误:毛利率59.2%→53.62%,59,200系上年产能OCR邻列值;内部领用注记收窄至产能产量",2026-08-08
SE006,(行业)中国直美流向,MOD1(行业口径),2026H1基准,23550,万美元,"基准=2026H1中国关境85177950直美出口$235.5M(占6.9%,2025全年16.6%,份额-9.7pp);情景=若FCC新型号冻结落地(refs/us-china-optical-transceiver-restrictions.md:冻结新型号+存量豁免模板,2026-08-04路透报道起草中,可改可搁),直美新出货趋零递减,马来(41.8%)/泰国(9.0%)/墨西哥(6.8%)承接,美厂受益;单位注记:流向额非只数",-,-,-,-,基准行本身即海关实测,corpus/legacy-input/customs-85177950-2026H1-breakdown-usd.csv,-,-,D,scenario-FCC,,,待FCC最终规则+次月海关数据,2026-08-08
SE007,长芯博创,MOD1,2025年度,1301.99,万件,"2025年报产销表直接披露(数据通信/消费及工业互联市场:产能2,338万件/产量1,564.25万件/销量1,301.99万件/营收2,038,769,308.96元/毛利率46.58%;上年销量1,305.21万件/营收10.74亿元);隐含混合ASP≈156.6元/件","2,038,769,308.96元(数通消费工业互联分部)",https://static.cninfo.com.cn/finalpage/2026-03-28/1225045047.PDF,隐含混合ASP≈156.6元/件(量价齐露自算),同收入锚,"分部营收20.39亿元≈$2.85亿,与行业出口$5.19B相容",corpus/legacy-input/customs-85177950-2025-breakdown-usd.csv,"销量1,301.99万件≤产能2,338万件(55.7%),通过",同收入锚,B,base,,,,2026-08-11
SE008,长芯博创,MOD3,2025年度,551.08,万件,"2025年报产销表直接披露(电信市场:产能1,254万件/产量572.26万件/销量551.08万件/营收480,795,926.96元/毛利率15.56%;上年销量459.67万件/营收6.70亿元,营收同比-28.21%系电信需求放缓);隐含混合ASP≈87.2元/件","480,795,926.96元(电信市场分部)",https://static.cninfo.com.cn/finalpage/2026-03-28/1225045047.PDF,隐含混合ASP≈87.2元/件(量价齐露自算),同收入锚,"电信分部以国内运营商为主,海关口径不适用",-,"销量551.08万件≤产能1,254万件(43.9%),通过",同收入锚,B,base,,,,2026-08-11
SE009,太辰光,D8/D9/D10聚合,2025年度,23836.87,万个,"2025年报产销表直接披露(光器件:产能27,702.55万个/产量25,613.31万个/销量23,836.87万个/营收151,527.23万元/毛利率38.31%;上年产能27,070万个/产量25,632.07万个/销量24,101.52万个/营收132,059.64万元/毛利率34.47%);聚合口径注记:光器件产品为D8/D9/D10多格聚合,不单归D9","151,527.23万元(光器件,2025年报产销表)",https://static.cninfo.com.cn/finalpage/2026-03-31/1225061015.PDF,隐含混合ASP≈6.36元/个(无源器件聚合口径),同收入锚,"器件非终端模块,85177950口径不适用",-,"销量23,836.87万个≤产能27,702.55万个(86.0%),通过",同收入锚,B,base,,,2026-08-11 codex验收勘误:上年三列转置修正+D9单归改聚合口径,2026-08-11
SE010,光库科技,D6/D7/D8/D9/C6聚合,2025年度,504.88,万件,"2025年报产销表直接披露(光通讯器件:产能5,200,000件/产量5,169,575件/销量5,048,760件/营收786,150,258.99元/毛利率33.48%;上年销量3,871,827件/营收392,355,069.34元,营收+100.37%);聚合口径注记:覆盖D6/D7/D8/D9/C6在册格","786,150,258.99元(光通讯器件,2025年报产销表)",https://static.cninfo.com.cn/finalpage/2026-03-24/1225026091.PDF,隐含混合ASP≈155.7元/件(聚合口径),同收入锚,"器件非终端模块,85177950口径不适用",-,"销量5,048,760件≤产能5,200,000件(97.1%,接近满产),通过",同收入锚,B,base,,,"2026-08-11 codex验收勘误:ASP155.9→155.7元/件,聚合口径补C6",2026-08-11
SE011,联特科技,MOD系聚合,2025年度,286,万只,"2025年报产销表直接披露(光模块及受托加工光模块业务:产能418万只/产量302万只/销量286万只/营收1,238,669,249.10元/毛利率34.00%;上年销量246万只/营收8.87亿元,高速率产品占比持续提升);口径注记:该表为光模块产品与受托加工(EMS)混列,隐含混合值≈433元/只为混合口径,不能解释为纯产品ASP","1,238,669,249.10元(2025年报产销表)",https://static.cninfo.com.cn/finalpage/2026-04-29/1225239616.pdf,隐含混合ASP≈433元/只(量价齐露自算),同收入锚,"营收12.39亿元≈$1.73亿,与行业出口$5.19B相容",corpus/legacy-input/customs-85177950-2025-breakdown-usd.csv,"销量286万只≤产能418万只(68.4%),通过",同收入锚,B,base,,,"2026-08-11 codex验收勘误:MOD1改MOD系聚合,ASP注记收窄",2026-08-11
SE012,阿莱德,B2,2025年度,12733.4475,万件,"2025年报产销表直接披露(通信设备零部件:产能505,093,448件/产量129,039,479件/销量127,334,475件/营收407,030,233.20元/毛利率38.47%;上年产能321,205,358件/产量88,579,668件/销量88,354,231件/营收316,234,885.23元/毛利率39.94%);隐含混合ASP≈3.20元/件;注记:新增产线投入产能大增","407,030,233.20元(通信设备零部件,2025年报产销表)",https://static.cninfo.com.cn/finalpage/2026-04-17/1225112636.PDF,隐含混合ASP≈3.20元/件(结构件聚合口径),同收入锚,"结构件非终端模块,85177950口径不适用",-,"销量127,334,475件≤产能505,093,448件(25.2%),通过",同收入锚,B,base,,,"2026-08-11 codex验收勘误:本期营收321,205,358(实为上年产能)→407,030,233.20元,ASP2.52→3.20元/件",2026-08-11
SE013,光迅科技,C1/C2/C3/C4/D3/D8/MOD1/MOD3/C6聚合,2025年度,27494.23,万只,"2025年报""收入与成本""节产销量表直接披露(通讯设备制造业:销售量27,494.23万只(+9.57%)/生产量29,423.63万只(+5.70%)/库存量7,239.39万只(+36.34%,系市场需求备货增加);紧邻分行业收入表:通信设备制造业营收11,900,400,580.28元/毛利率23.31%);聚合注记:通讯设备制造业行业大类,覆盖在册格C1/C2/C3/C4/D3/D8/MOD1/MOD3/C6全边界","11,900,400,580.28元(通信设备制造业)",https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,隐含混合ASP≈43.3元/只(大类聚合口径),同收入锚,"营收119.0亿元≈$16.6亿,与行业出口$5.19B相容",corpus/legacy-input/customs-85177950-2025-breakdown-usd.csv,"库存量+36.34%备货注记;产销平衡(生产29,423.63万 vs 销售27,494.23万只)",同收入锚,B,base,,,,2026-08-11
SE014,仕佳光子,C1/D1/D8/D9聚合,2025年度,13451.12,万只,"2025年报产销量表直接披露(光芯片及器件:销量13,451.12万只/生产量21,645.82万只/自用7,000.18万只);聚合注记:光芯片及器件聚合口径(覆盖在册格C1/D1/D8/D9全边界;年报主营产品含MT-FA/FAU等无源光组件)",2025年报产销量表,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122538.PDF,-,-,"器件非终端模块,85177950口径不适用",-,"生产量21,645.82万只>销量(自用7,000.18万只注记),通过",同收入锚,B,base,,,,2026-08-11
SE015,德科立,MOD1/MOD2/MOD3/C6聚合,2025年度,1700417,支/套,"2025年报产销量表直接披露(传输类:销售量1,700,417支/套);聚合注记:传输类含电信光收发模块/光放大器/传输子系统/光无源模块,覆盖在册格MOD1/MOD2/MOD3/C6全边界;单位精确保留原表支/套",2025年报产销量表,https://static.cninfo.com.cn/finalpage/2026-03-31/1225064041.PDF,-,-,-,-,-,-,B,base,,,,2026-08-11
