source_id,名称,URL/入口,类型,层级,更新节奏,可及性,反向构建依据(来自溯源报告)
S01,巨潮资讯-公告,http://www.cninfo.com.cn,上市公司公告/并购文件,T1,事件驱动,全开放,F-017/018/050的锚点承载页(新浪公告页/腾讯)背后的生成器;罗博特科问询回复原始存放地
S02,深交所-发行上市审核项目页,https://listing.szse.cn,IPO招股书/问询回复,T1,脉冲(轮次驱动),全开放,F-021/022的生成器;猎奇智能创业板IPO;每轮问询回复=新一批T1事实
S03,上交所-发行上市/并购重组审核,https://www.sse.com.cn,IPO/并购问询文件,T1,脉冲,全开放,联讯仪器IPO及罗博特科类并购的生成器;与S02按标的所属交易所二选一
S04,互动易/上证e互动,https://irm.cninfo.com.cn,公司官方回应,T1(口径保守),日级(需过滤),全开放,F-009偏差量化的官方口径来源("以定期报告为准");F-020凯格精机回应的生成器
S05,公司官网-投关/公告栏,如https://cn.wxautowell.com等,投关记录/官方PDF,T1,月级,全开放-已验证,轨迹F-019中奥特维官网PDF直接命中"小批量订单"原文;覆盖名单见README
S06,财联社/科创板日报,https://www.cls.cn,采编媒体,T2,日级,全开放-已验证,F-014/019/020/044/046共5条锚点的承载源;本域最高产的T2
S07,海关总署-月度出口数据,http://stats.customs.gov.cn,光模块出口量价(HS8517类),T1,月级,全开放,溯源报告未使用但行业有物质流;泰国产能争议(F-009/010/011)的独立交叉验证源
S08,发现报告/研报库,https://www.fxbaogao.com等,卖方研报存档,T2,日级,部分开放,F-038锚点;用于回声室检测与"报告间互引"追踪;不作事实锚
S09,(预留),,,,,,
S10,(预留),,,,,,
X01,TrendForce集邦,付费墙,出货量预测,🔒上游饥饿,季度,不可达,循环簇1源头;F-001至F-004全部封顶于此;登记意义=见即标记"不可独立验证"
X02,Frost&Sullivan,付费墙,市占率数据,🔒上游饥饿,年度,不可达,F-012/014/044/047封顶;招股书引用是其唯一半公开出口
X03,思瀚产业研究院,原文不可达,设备投资强度,🔒上游饥饿,不明,不可达,循环簇2源头;"每100万支5亿元"这一全行业空间测算的基石数字封顶于此
X04,GGII/BNEF,付费墙,海外产能估计,🔒上游饥饿,不定期,不可达,F-009/010/011精确月产能的来源;与S04官方口径系统性背离
X05,Yole,付费墙,CPO市场规模,🔒上游饥饿,年度,不可达,F-016口径争议(54亿vs81亿美元)无法裁决的原因
