pair_id,A方,B方,A方披露(边ID),B方是否有披露渠道,产品匹配度,期间重叠,金额是否可能过B方披露阈值,会计科目预判,优先级,理由
P01,天孚通信,Fabrinet,E043;E072;E073,是(NYSE:FN),高(光器件/组件→EMS代工料),高(日历年vs FY6月末需换算重叠期),预期不可见(美股10-K制度性不实名供应商；可做收入规模/地理一致性核对),原材料,高,用户点名高价值样例：A股侧三年实名Fabrinet且金额32.7亿元级；双侧核对看Fabrinet侧供应商实名通常不可见，但可核代工业务规模与中国光学供应链叙述是否自洽；单侧未命中仅标不可见
P02,Fabrinet,Lumentum,E068;E005,是(NASDAQ:LITE),高(EMS代工↔光器件),高(双方财年均约6月末),是(已观测双方均曾≥10%),代工服务成本/营业收入,高,判例#004已合拢模板：Fabrinet客户表实名Lumentum vs Lumentum Contract Manufacturer A反照；保留为高优先级校准对，核对FY2024/FY2025占比序列是否仍闭合
P03,光迅科技,烽火通信,E074,是(600498),高(同属中国信科体系光模块/系统),高(同日历年2023),是(关联方销售强制披露通道),关联方销售/营业成本,高,A股双侧皆有年报；关联方锁定已在E074备注；核对烽火侧是否镜像披露对光迅采购/销售——有正向吻合空间
P04,猎奇智能,中际旭创,E045;E010,是(300308),高(光模块封装测试设备→模块厂产能),高(2023-2025),预期不可见(设备采购多入固定资产/在建工程，通常不进原材料前五大；招股书称比照关联交易披露，可另核旭创关联/重大合同附注),固定资产/在建工程,中高,金额2025年3.73亿元级；原材料供应商表预期不可见，但比照关联披露通道使附注核对仍有价值；单侧未命中只标不可见
P05,联讯仪器,中际旭创,E088;E090,是(300308),中高(通信测试仪器→模块厂),高(2023-2024),预期不可见(测试设备科目+金额约0.41亿相对旭创采购体量难入前五大供应商),固定资产,中高,联讯IPO已实名；值得在旭创年报固定资产/在建工程/研发设备附注扫描是否点名，预期原材料表不可见
P06,联讯仪器,新易盛,E083,是(300502),中高(光电子器件测试设备→模块厂),中(2025Q1 vs 年报全年),预期不可见(单季1668万元级+设备科目),固定资产,中,产品匹配成立但金额相对新易盛采购门槛偏低；核对价值在于确认科目路径，非期待供应商表实名
P07,猎奇智能,光迅科技,E048,是(002281),高(光模块封装测试设备),高(2024),预期不可见(设备→固定资产/在建工程),固定资产/在建工程,中,2024年6097.74万元；光迅有披露渠道，原材料表预期不可见，可扫资本开支附注
P08,联讯仪器,光迅科技,E085;E093,是(002281),中高(通信/光电子测试设备),高(2022/2024),预期不可见(设备科目+相对光迅采购额偏小),固定资产,中,两年入联讯前五；与E048构成光迅设备采购多源候选，仍预期供应商表不可见
P09,猎奇智能,源杰科技,E049,是(688498),中(封装测试设备→光芯片厂扩产),中(2023；其后跌出前五),预期不可见(设备入固定资产/在建工程概率高，且3115.80万元易低于重大供应商阈值),固定资产/在建工程,中,Codex第3条典型口径题：设备销售在源杰侧可能入固定资产不进原材料供应商表；未披露只能表述为不可见
P10,联讯仪器,三安光电,E091;E095,是(600703),中(功率/光电测试设备→化合物半导体),高(2022-2023),预期不可见(设备+千万级),固定资产,中低,B方有年报渠道；产品非光模块主链但同属设备观察；预期原材料表不可见
P11,联讯仪器,士兰微,E086,是(600460),中(功率器件测试设备→半导体IDM),高(2024),预期不可见(设备+5459万元级相对士兰微采购体量),固定资产,中低,上市对手方可扫，但会计科目预判决定供应商表核对ROI低
P12,联讯仪器,Broadcom,E094,是(NASDAQ:AVGO),中高(光电子器件测试↔CPO/光电),高(2022),预期不可见(美股不实名小额设备供应商；1310万元级),固定资产,中低,与E011(ficonTEC-博通)同客户域的第二独立A方披露；博通侧点名联讯概率极低，仅作不可见基线
P13,ficonTEC(罗博特科),NVIDIA,E012,是(NASDAQ:NVDA),中(CPO耦合封装设备→算力系统商),中(订单时点2024 vs NVDA财年),预期不可见(在手订单/设备capex，NVDA不披露该级设备商),固定资产,低,A方有在手订单实边；B方披露渠道存在但不覆盖此类对手方实名——候选价值在登记不可见预期，避免误判
P14,ficonTEC(罗博特科),博通,E011,是(NASDAQ:AVGO),中高(CPO耦合设备),中(2024交付口径),预期不可见(设备交付；博通供应商侧不实名该级),固定资产,低,A方问询回复实名14台；双侧正向吻合空间极窄，单侧不可见不得升格
P15,凯格精机,Fabrinet,E014,是(NYSE:FN),中(800G/1.6T组装产线→EMS),中(2025半边),预期不可见(产线设备/在建；Fabrinet不实名设备商；且A方未点名仅疑似),固定资产/在建工程,低,半边+产线条数口径不一致(E014备注)；保留为低优先级以明确不可见边界；未披露不升级为否定结论
