"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202501","85177950","光通信设备的激光收发模块","101","阿富汗","10","一般贸易","44","广东省","99","千克","0","?","143,069",
"202501","85177950","光通信设备的激光收发模块","102","巴林","10","一般贸易","31","上海市","0","千克","0","?","535",
"202501","85177950","光通信设备的激光收发模块","102","巴林","10","一般贸易","44","广东省","8","千克","0","?","66,197",
"202501","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","11","北京市","35","千克","0","?","39,103",
"202501","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","31","上海市","63","千克","0","?","197,441",
"202501","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","44","广东省","93","千克","0","?","1,218,273",
"202501","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","51","四川省","22","千克","0","?","27,274",
"202501","85177950","光通信设备的激光收发模块","103","孟加拉国","34","海关特殊监管区域物流货物","32","江苏省","0","千克","0","?","1,253",
"202501","85177950","光通信设备的激光收发模块","104","不丹","10","一般贸易","44","广东省","3","千克","0","?","4,496",
"202501","85177950","光通信设备的激光收发模块","105","文莱","10","一般贸易","33","浙江省","6","千克","0","?","24,210",
"202501","85177950","光通信设备的激光收发模块","105","文莱","10","一般贸易","44","广东省","0","千克","0","?","3,030",
"202501","85177950","光通信设备的激光收发模块","106","缅甸","10","一般贸易","33","浙江省","13","千克","0","?","4,474",
"202501","85177950","光通信设备的激光收发模块","106","缅甸","10","一般贸易","35","福建省","0","千克","0","?","2,438",
"202501","85177950","光通信设备的激光收发模块","106","缅甸","10","一般贸易","44","广东省","67","千克","0","?","5,578",
"202501","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","33","浙江省","28","千克","0","?","213,678",
"202501","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","35","福建省","10","千克","0","?","51,372",
"202501","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","37","山东省","1","千克","0","?","23,827",
"202501","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","44","广东省","75","千克","0","?","212,511",
"202501","85177950","光通信设备的激光收发模块","107","柬埔寨","33","保税监管场所进出境货物","44","广东省","0","千克","0","?","2,727",
"202501","85177950","光通信设备的激光收发模块","108","塞浦路斯","10","一般贸易","44","广东省","6","千克","0","?","5,332",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","11","北京市","19","千克","0","?","161,019",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","31","上海市","88","千克","0","?","2,304,607",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","32","江苏省","1860","千克","0","?","46,065,437",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","33","浙江省","1467","千克","0","?","14,208,601",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","34","安徽省","143","千克","0","?","244,835",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","35","福建省","12","千克","0","?","104,061",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","37","山东省","101","千克","0","?","285,426",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","41","河南省","8","千克","0","?","125,665",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","42","湖北省","375","千克","0","?","6,736,555",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","44","广东省","2948","千克","0","?","14,495,115",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","51","四川省","270","千克","0","?","6,721,687",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","52","贵州省","6","千克","0","?","11,533",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","61","陕西省","64","千克","0","?","1,106,952",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","15","进料加工贸易","32","江苏省","939","千克","0","?","16,851,369",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","15","进料加工贸易","35","福建省","7","千克","0","?","122,434",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","15","进料加工贸易","44","广东省","10","千克","0","?","414,475",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","15","进料加工贸易","51","四川省","65","千克","0","?","513,007",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","33","保税监管场所进出境货物","11","北京市","0","千克","0","?","34,323",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","33","保税监管场所进出境货物","44","广东省","15","千克","0","?","127,832",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","34","海关特殊监管区域物流货物","32","江苏省","38","千克","0","?","83,114",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","34","海关特殊监管区域物流货物","44","广东省","1969","千克","0","?","10,222,203",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","21","辽宁省","1","千克","0","?","1,926",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","31","上海市","8","千克","0","?","30,674",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","32","江苏省","1445","千克","0","?","542,663",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","33","浙江省","3","千克","0","?","14,447",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","34","安徽省","2","千克","0","?","43,703",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","35","福建省","1","千克","0","?","3,686",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","36","江西省","1","千克","0","?","18,886",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","37","山东省","739","千克","0","?","91,091",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","42","湖北省","1091","千克","0","?","2,080,870",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","43","湖南省","2","千克","0","?","4,974",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","44","广东省","2714","千克","0","?","8,336,301",
"202501","85177950","光通信设备的激光收发模块","111","印度","10","一般贸易","51","四川省","813","千克","0","?","2,593,959",
"202501","85177950","光通信设备的激光收发模块","111","印度","15","进料加工贸易","32","江苏省","2","千克","0","?","283,256",
"202501","85177950","光通信设备的激光收发模块","111","印度","15","进料加工贸易","44","广东省","5","千克","0","?","46,485",
"202501","85177950","光通信设备的激光收发模块","111","印度","15","进料加工贸易","51","四川省","26","千克","0","?","1,613,153",
"202501","85177950","光通信设备的激光收发模块","111","印度","34","海关特殊监管区域物流货物","32","江苏省","2364","千克","0","?","3,994,401",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","31","上海市","18","千克","0","?","334,984",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","32","江苏省","270","千克","0","?","380,445",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","33","浙江省","38","千克","0","?","105,333",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","35","福建省","17","千克","0","?","289,911",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","37","山东省","146","千克","0","?","25,899",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","41","河南省","0","千克","0","?","920",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","42","湖北省","446","千克","0","?","5,477,556",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","44","广东省","2294","千克","0","?","9,312,987",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","45","广西壮族自治区","197","千克","0","?","40,246",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","46","海南省","1","千克","0","?","14,416",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","10","一般贸易","52","贵州省","22","千克","0","?","47,874",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","15","进料加工贸易","35","福建省","0","千克","0","?","2,876",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","34","海关特殊监管区域物流货物","32","江苏省","267","千克","0","?","462,162",
"202501","85177950","光通信设备的激光收发模块","112","印度尼西亚","39","其他","32","江苏省","2","千克","0","?","57,813",
"202501","85177950","光通信设备的激光收发模块","113","伊朗","10","一般贸易","13","河北省","1","千克","0","?","21,564",
"202501","85177950","光通信设备的激光收发模块","113","伊朗","10","一般贸易","32","江苏省","752","千克","0","?","95,692",
"202501","85177950","光通信设备的激光收发模块","113","伊朗","10","一般贸易","51","四川省","205","千克","0","?","35,512",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","10","一般贸易","32","江苏省","447","千克","0","?","154,913",
"202501","85177950","光通信设备的激光收发模块","114","伊拉克","10","一般贸易","35","福建省","2","千克","0","?","39,564",
