"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202601","85177950","光通信设备的激光收发模块","101","阿富汗","10","一般贸易","44","广东省","20","千克","0","?","54,594",
"202601","85177950","光通信设备的激光收发模块","102","巴林","10","一般贸易","33","浙江省","7","千克","0","?","3,585",
"202601","85177950","光通信设备的激光收发模块","102","巴林","10","一般贸易","44","广东省","0","千克","0","?","1,337",
"202601","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","32","江苏省","9","千克","0","?","63,964",
"202601","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","35","福建省","1","千克","0","?","945",
"202601","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","44","广东省","119","千克","0","?","28,919",
"202601","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","50","重庆市","1","千克","0","?","2,432",
"202601","85177950","光通信设备的激光收发模块","104","不丹","10","一般贸易","44","广东省","29","千克","0","?","1,264",
"202601","85177950","光通信设备的激光收发模块","104","不丹","34","海关特殊监管区域物流货物","32","江苏省","5","千克","0","?","1,244",
"202601","85177950","光通信设备的激光收发模块","105","文莱","10","一般贸易","44","广东省","3","千克","0","?","273",
"202601","85177950","光通信设备的激光收发模块","106","缅甸","10","一般贸易","44","广东省","94","千克","0","?","30,247",
"202601","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","31","上海市","3","千克","0","?","2,074",
"202601","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","32","江苏省","0","千克","0","?","110",
"202601","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","35","福建省","12","千克","0","?","7,741",
"202601","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","37","山东省","168","千克","0","?","7,493",
"202601","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","41","河南省","0","千克","0","?","108",
"202601","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","44","广东省","58","千克","0","?","21,664",
"202601","85177950","光通信设备的激光收发模块","107","柬埔寨","15","进料加工贸易","51","四川省","2","千克","0","?","4,900",
"202601","85177950","光通信设备的激光收发模块","108","塞浦路斯","10","一般贸易","44","广东省","8","千克","0","?","3,459",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","11","北京市","88","千克","0","?","74,396",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","31","上海市","215","千克","0","?","1,441,701",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","32","江苏省","262","千克","0","?","577,233",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","33","浙江省","233","千克","0","?","634,041",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","34","安徽省","8","千克","0","?","35,676",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","35","福建省","4","千克","0","?","6,067",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","37","山东省","18","千克","0","?","8,788",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","41","河南省","4","千克","0","?","1,087",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","42","湖北省","974","千克","0","?","1,554,334",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","43","湖南省","178","千克","0","?","379,256",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","44","广东省","1506","千克","0","?","1,751,065",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","45","广西壮族自治区","6","千克","0","?","787",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","46","海南省","3","千克","0","?","54,579",
"202601","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","51","四川省","2517","千克","0","?","5,678,939",
