event_claim_id,legacy_claim_id,disclosure_id,claimant_entity_id,claimant_role,statement_kind,quote,anchor,summary,review_status,reviewed_at,notes
ECL001,,D_AAOI_20260309_ORDER,AAOI,corporate_disclosure,fact_assertion,"Applied Optoelectronics Inc. today announced it received its first volume order for its 1.6T data center transceivers from one of its long-term major hyperscale customers",official release title and opening paragraph,AAOI公告称收到首笔1.6T数据中心光模块批量订单,anchor_reviewed,2026-08-09,第一方商业主张；不等于客户独立确认或已经发货
ECL002,CL017,D_LITE_20260430_BLOG,LITE,corporate_author,technical_demo,"Lumentum demonstrated two live NVIDIA 1.6T 2xDR4 OSFP transceiver modules built on different optical architectures, but both enabled by Lumentum lasers",official blog lines 24-30,Lumentum博客称现场演示两种1.6T 2xDR4 OSFP架构,anchor_reviewed,2026-08-09,仅证明公司展示样机；不推导客户验证或供应关系
ECL003,,D_AVGO_20260311_TAURUS,AVGO,corporate_disclosure,fact_assertion,Broadcom has begun sampling its Taurus BCM83640 to its early access customers and partners.,Availability > paragraph 1,Broadcom称400G/lane Taurus光DSP已向早期客户和伙伴送样,anchor_reviewed,2026-08-11,第一方产品阶段主张
ECL004,,D_MRVL_20260312_ARA,MRVL,corporate_disclosure,fact_assertion,Now shipping in mass volume to global customers,Ara产品段落,Marvell称Ara 1.6T光DSP已大批量出货,anchor_reviewed,2026-08-11,第一方规模主张；未独立确认客户与数量
ECL005,CL051,D_NOK_20251023_800G,NOK,management,fact_assertion,became generally available and have started shipping to a large US customer.,CEO Q3 comments > Network Infrastructure,Nokia称800G ZR/ZR+相干可插拔已开始向一家美国客户发货,anchor_reviewed,2026-08-11,客户未具名且不是短距数通形态
ECL006,,D_CIEN_20260331_WL6E,CIEN,corporate_disclosure,technical_demo,Recent trial successfully transmitted 1.6 Tb/s line rate on a single optical channel across Vi's two data centers,Summary bullet 2,Ciena披露WaveLogic 6 Extreme在两个数据中心间完成1.6T单波试验,anchor_reviewed,2026-08-11,同源客户叙述不计独立验证
ECL007,,D_MTSI_20260317_448G,MTSI,corporate_disclosure,fact_assertion,today announced the availability of its new 448G PAM4 modulator drivers,lead paragraph beginning LOWELL,MACOM宣布两款448G/lane PAM4调制器驱动器可获得,anchor_reviewed,2026-08-11,器件可获得不等于下游模块量产
ECL008,,D_CRDO_20260317_ZEROFLAP,CRDO,corporate_disclosure,fact_assertion,today announced the general availability of its revolutionary 800G 2 x DR4 ZeroFlap (ZF) transceiver products.,lead paragraph beginning SAN JOSE,Credo宣布800G 2xDR4 ZeroFlap光模块一般可用,anchor_reviewed,2026-08-11,第一方GA主张；未推导客户采用或规模
ECL009,CL054,D_NOK_20260423_Q1,NOK,management,fact_assertion,We won a number of important AI & Cloud design wins and orders for both pluggables and line systems in the quarter,CEO Q1 comments > Network Infrastructure,Nokia称取得AI与云可插拔和线路系统设计定点及订单,anchor_reviewed,2026-08-11,未披露客户产品速率订单金额或发货状态
ECL010,CL056,D_NOK_20260423_Q1,NOK,management,forward_looking,Products will begin sampling in mid-2027,CEO Q1 comments > OFC optical conference,Nokia预告下一代光网络产品2027年中开始送样,anchor_reviewed,2026-08-11,Guidance而非已经发生的产品阶段；四款DSP与十三项方案未拆分形态
ECL011,,D_NOK_20260723_Q2,NOK,management,corporate_narrative,Demand remains strong while supply continues to be the main industry constraint,CEO Q2 comments > Network Infrastructure,Nokia管理层叙事称供应继续是网络行业主要约束,anchor_reviewed,2026-08-11,同时覆盖光网络和IP网络且没有识别受限器件；不进入legacy事实交叉验证
ECL012,,D_CIEN_20260225_VESTA,CIEN,corporate_disclosure,fact_assertion,Ciena is unveiling Vesta 200 6.4T CPX,lead paragraph beginning HANOVER,Ciena发布Vesta 200 6.4T CPX可插拔CPO光引擎,anchor_reviewed,2026-08-11,只证明产品发布；计划OFC演示不记为已经demonstrated
ECL013,,D_MTSI_20260703_IQE_10Q,MTSI,corporate_disclosure,fact_assertion,"On May 28, 2026, we completed an investment in IQE plc",Part I Item 1 Note 4 Investments p.11 first paragraph beginning On May 28 2026,MACOM在10-Q中确认完成对IQE投资,anchor_reviewed,2026-08-11,投资完成不等于外延供应已经增加
ECL014,,D_MTSI_20260703_IQE_10Q,MTSI,corporate_disclosure,fact_assertion,which included entering into long-term supply agreements,Part I Item 1 Note 4 Investments p.11 first paragraph beginning On May 28 2026,MACOM在10-Q中确认已订立长期供应协议,anchor_reviewed,2026-08-11,协议覆盖多种技术；不推导InP份额产能良率或交付
ECL015,,D_IQE_20260528_RESULTS,WATCH_IQE,counterparty,fact_assertion,The fundraise included a £45m strategic investment from MACOM Technology Solutions Inc.,Fundraise paragraph,IQE确认MACOM的4500万英镑战略投资,anchor_reviewed,2026-08-11,对手方独立披露支持交易发生；不证明供应效果
ECL016,,D_IQE_20260528_RESULTS,WATCH_IQE,counterparty,fact_assertion,"Concurrently, IQE and MACOM also entered into long-term supply agreements.",Fundraise paragraph,IQE确认与MACOM订立长期供应协议,anchor_reviewed,2026-08-11,对手方独立披露；协议数量期限及技术份额未披露
ECL017,,D_CRDO_20251013_ZEROFLAP,CRDO,corporate_disclosure,fact_assertion,Credo ZF optical transceivers are now sampling.,Availability paragraph,Credo称ZeroFlap光模块产品族已经送样,anchor_reviewed,2026-08-11,送样覆盖产品族；不能把400G 800G与1.6T全部升级到GA
