edge_id,source_node_id,target_node_id,relation_type,route_scope,requiredness,evidence_ids,notes
SE-APP-AI-DR8,SN-APP-AI-DC-FABRIC,SN-ROUTE-800G-DR8,drives,SN-ROUTE-800G-DR8,mandatory,,AI短距并行单模主路线
SE-APP-AI-2XFR4,SN-APP-AI-DC-FABRIC,SN-ROUTE-800G-2XFR4,drives,SN-ROUTE-800G-2XFR4,route_specific,,楼内/机房间需要双工光纤或更长链路时可选
SE-APP-CAMPUS-2XFR4,SN-APP-CAMPUS-SMF,SN-ROUTE-800G-2XFR4,drives,SN-ROUTE-800G-2XFR4,mandatory,,2km双工SMF主路线
SE-APP-CAMPUS-DR8,SN-APP-CAMPUS-SMF,SN-ROUTE-800G-DR8,drives,SN-ROUTE-800G-DR8,optional,,仅当距离与并行光纤布线允许时
SE-APP-DCI-ZR,SN-APP-DCI-METRO,SN-ROUTE-400ZR,drives,SN-ROUTE-400ZR,mandatory,,OIF 400ZR应用域
SE-DR8-ELEC,SN-ROUTE-800G-DR8,SN-FN-ELEC-HOST-IO,implements,SN-ROUTE-800G-DR8,mandatory,,800GAUI-8类主机电接口
SE-DR8-TX,SN-ROUTE-800G-DR8,SN-FN-OPT-TX,implements,SN-ROUTE-800G-DR8,mandatory,,
SE-DR8-RX,SN-ROUTE-800G-DR8,SN-FN-OPT-RX,implements,SN-ROUTE-800G-DR8,mandatory,,
SE-DR8-MGMT,SN-ROUTE-800G-DR8,SN-FN-MODULE-MGMT,implements,SN-ROUTE-800G-DR8,mandatory,,
SE-DR8-PAM4,SN-ROUTE-800G-DR8,SN-FN-PAM4-SIG,implements,SN-ROUTE-800G-DR8,mandatory,,
SE-DR8-FEC,SN-ROUTE-800G-DR8,SN-FN-HOST-FEC-TARGET,implements,SN-ROUTE-800G-DR8,mandatory,,主机侧FEC假设
SE-DR8-PAR,SN-ROUTE-800G-DR8,SN-FN-PARALLEL-FIBER,implements,SN-ROUTE-800G-DR8,mandatory,,DR8特有
SE-2X-ELEC,SN-ROUTE-800G-2XFR4,SN-FN-ELEC-HOST-IO,implements,SN-ROUTE-800G-2XFR4,mandatory,,800GAUI-8或2×400GAUI-4
SE-2X-TX,SN-ROUTE-800G-2XFR4,SN-FN-OPT-TX,implements,SN-ROUTE-800G-2XFR4,mandatory,,
SE-2X-RX,SN-ROUTE-800G-2XFR4,SN-FN-OPT-RX,implements,SN-ROUTE-800G-2XFR4,mandatory,,
SE-2X-MGMT,SN-ROUTE-800G-2XFR4,SN-FN-MODULE-MGMT,implements,SN-ROUTE-800G-2XFR4,mandatory,,
SE-2X-PAM4,SN-ROUTE-800G-2XFR4,SN-FN-PAM4-SIG,implements,SN-ROUTE-800G-2XFR4,mandatory,,
SE-2X-FEC,SN-ROUTE-800G-2XFR4,SN-FN-HOST-FEC-TARGET,implements,SN-ROUTE-800G-2XFR4,mandatory,,
SE-2X-CWDM,SN-ROUTE-800G-2XFR4,SN-FN-CWDM-MUX,implements,SN-ROUTE-800G-2XFR4,mandatory,,2xFR4特有
SE-ZR-ELEC,SN-ROUTE-400ZR,SN-FN-ELEC-HOST-IO,implements,SN-ROUTE-400ZR,mandatory,,400G主机侧电接口
SE-ZR-TX,SN-ROUTE-400ZR,SN-FN-OPT-TX,implements,SN-ROUTE-400ZR,mandatory,,
SE-ZR-RX,SN-ROUTE-400ZR,SN-FN-OPT-RX,implements,SN-ROUTE-400ZR,mandatory,,
SE-ZR-MGMT,SN-ROUTE-400ZR,SN-FN-MODULE-MGMT,implements,SN-ROUTE-400ZR,mandatory,,
SE-ZR-COHMOD,SN-ROUTE-400ZR,SN-FN-COH-MOD,implements,SN-ROUTE-400ZR,mandatory,,400ZR特有
SE-ZR-COHRX,SN-ROUTE-400ZR,SN-FN-COH-DETECT,implements,SN-ROUTE-400ZR,mandatory,,400ZR特有
SE-ZR-DSP,SN-ROUTE-400ZR,SN-FN-COH-DSP-FEC,implements,SN-ROUTE-400ZR,mandatory,,400ZR特有
SE-ZR-TUNE,SN-ROUTE-400ZR,SN-FN-DWDM-TUNE,implements,SN-ROUTE-400ZR,mandatory,,400ZR特有
SE-FN-TX-EML1310,SN-FN-OPT-TX,SN-COMP-EML-1310,requires,SN-ROUTE-800G-DR8,route_specific,,DR8常见分立发送器件
SE-FN-TX-SIPH,SN-FN-OPT-TX,SN-COMP-SIPH-TX,requires,SN-ROUTE-800G-DR8,optional,,DR8替代发送实现
SE-FN-TX-CWDMEML,SN-FN-OPT-TX,SN-COMP-EML-CWDM4,requires,SN-ROUTE-800G-2XFR4,route_specific,,2xFR4典型发送
SE-FN-TX-IQ,SN-FN-OPT-TX,SN-COMP-IQ-MOD,requires,SN-ROUTE-400ZR,mandatory,,相干发送前端
SE-FN-TX-ITL,SN-FN-OPT-TX,SN-COMP-ITL,requires,SN-ROUTE-400ZR,mandatory,,线侧/本振光源
SE-FN-RX-PIN,SN-FN-OPT-RX,SN-COMP-PIN-PD,requires,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4,mandatory,,直检接收
SE-FN-RX-TIA,SN-FN-OPT-RX,SN-COMP-TIA,requires,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4,mandatory,,直检TIA
SE-FN-RX-ICR,SN-FN-OPT-RX,SN-COMP-ICR,requires,SN-ROUTE-400ZR,mandatory,,相干接收
SE-FN-ELEC-DSPDD,SN-FN-ELEC-HOST-IO,SN-COMP-DD-DSP,requires,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4,mandatory,,重定时直检
SE-FN-ELEC-PCB,SN-FN-ELEC-HOST-IO,SN-COMP-HPCB,requires,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4;SN-ROUTE-400ZR,mandatory,,
SE-FN-PAM4-DSP,SN-FN-PAM4-SIG,SN-COMP-DD-DSP,requires,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4,mandatory,,
SE-FN-PAM4-DRV,SN-FN-PAM4-SIG,SN-COMP-DRIVER,requires,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4,route_specific,,驱动可独立或集成
SE-FN-PAR-MPO,SN-FN-PARALLEL-FIBER,SN-COMP-MPO-RECEPTACLE,requires,SN-ROUTE-800G-DR8,mandatory,,
SE-FN-CWDM-MUX,SN-FN-CWDM-MUX,SN-COMP-CWDM-MUXDEMUX,requires,SN-ROUTE-800G-2XFR4,mandatory,,
SE-FN-CWDM-LC,SN-FN-CWDM-MUX,SN-COMP-LC-RECEPTACLE,requires,SN-ROUTE-800G-2XFR4,mandatory,,双工光纤口
SE-FN-MGMT-MCU,SN-FN-MODULE-MGMT,SN-COMP-MCU-CMIS,requires,SN-ROUTE-800G-DR8;SN-ROUTE-800G-2XFR4;SN-ROUTE-400ZR,mandatory,,
SE-FN-COHMOD-IQ,SN-FN-COH-MOD,SN-COMP-IQ-MOD,requires,SN-ROUTE-400ZR,mandatory,,
SE-FN-COHMOD-ITL,SN-FN-COH-MOD,SN-COMP-ITL,requires,SN-ROUTE-400ZR,mandatory,,
SE-FN-COHDET-ICR,SN-FN-COH-DETECT,SN-COMP-ICR,requires,SN-ROUTE-400ZR,mandatory,,
SE-FN-DSP-CHIP,SN-FN-COH-DSP-FEC,SN-COMP-COH-DSP,requires,SN-ROUTE-400ZR,mandatory,,
SE-FN-TUNE-ITL,SN-FN-DWDM-TUNE,SN-COMP-ITL,requires,SN-ROUTE-400ZR,mandatory,,
SE-RT-DR8-HOUSING,SN-ROUTE-800G-DR8,SN-COMP-PLUG-HOUSING,requires,SN-ROUTE-800G-DR8,mandatory,,可插拔形态
SE-RT-2X-HOUSING,SN-ROUTE-800G-2XFR4,SN-COMP-PLUG-HOUSING,requires,SN-ROUTE-800G-2XFR4,mandatory,,
SE-RT-ZR-HOUSING,SN-ROUTE-400ZR,SN-COMP-PLUG-HOUSING,requires,SN-ROUTE-400ZR,mandatory,,OIF目标pluggable DCO
SE-RT-ZR-TEC,SN-ROUTE-400ZR,SN-COMP-TEC,requires,SN-ROUTE-400ZR,unknown,,实现相关
SE-RT-DR8-EML,SN-ROUTE-800G-DR8,SN-COMP-EML-1310,requires,SN-ROUTE-800G-DR8,route_specific,,与硅光路径二选一常见
