"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202501","85177950","光通信设备的激光收发模块","101","阿富汗","10","一般贸易","44","广东省","99","千克","0","?","19,905",
"202501","85177950","光通信设备的激光收发模块","102","巴林","10","一般贸易","31","上海市","0","千克","0","?","74",
"202501","85177950","光通信设备的激光收发模块","102","巴林","10","一般贸易","44","广东省","8","千克","0","?","9,209",
"202501","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","11","北京市","35","千克","0","?","5,440",
"202501","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","31","上海市","63","千克","0","?","27,469",
"202501","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","44","广东省","93","千克","0","?","169,488",
"202501","85177950","光通信设备的激光收发模块","103","孟加拉国","10","一般贸易","51","四川省","22","千克","0","?","3,794",
"202501","85177950","光通信设备的激光收发模块","103","孟加拉国","34","海关特殊监管区域物流货物","32","江苏省","0","千克","0","?","174",
"202501","85177950","光通信设备的激光收发模块","104","不丹","10","一般贸易","44","广东省","3","千克","0","?","625",
"202501","85177950","光通信设备的激光收发模块","105","文莱","10","一般贸易","33","浙江省","6","千克","0","?","3,367",
"202501","85177950","光通信设备的激光收发模块","105","文莱","10","一般贸易","44","广东省","0","千克","0","?","422",
"202501","85177950","光通信设备的激光收发模块","106","缅甸","10","一般贸易","33","浙江省","13","千克","0","?","623",
"202501","85177950","光通信设备的激光收发模块","106","缅甸","10","一般贸易","35","福建省","0","千克","0","?","339",
"202501","85177950","光通信设备的激光收发模块","106","缅甸","10","一般贸易","44","广东省","67","千克","0","?","776",
"202501","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","33","浙江省","28","千克","0","?","29,706",
"202501","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","35","福建省","10","千克","0","?","7,146",
"202501","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","37","山东省","1","千克","0","?","3,315",
"202501","85177950","光通信设备的激光收发模块","107","柬埔寨","10","一般贸易","44","广东省","75","千克","0","?","29,566",
"202501","85177950","光通信设备的激光收发模块","107","柬埔寨","33","保税监管场所进出境货物","44","广东省","0","千克","0","?","379",
"202501","85177950","光通信设备的激光收发模块","108","塞浦路斯","10","一般贸易","44","广东省","6","千克","0","?","743",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","11","北京市","19","千克","0","?","22,411",
"202501","85177950","光通信设备的激光收发模块","110","中国香港","10","一般贸易","31","上海市","88","千克","0","?","320,619",
