"数据年月","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"202401","85177950","光通信设备的激光收发模块","257644","千克","0","?","447,062,632",
"202402","85177950","光通信设备的激光收发模块","228453","千克","0","?","389,531,110",
"202403","85177950","光通信设备的激光收发模块","325654","千克","0","?","502,433,846",
"202404","85177950","光通信设备的激光收发模块","314989","千克","0","?","542,655,299",
"202405","85177950","光通信设备的激光收发模块","325597","千克","0","?","578,656,093",
"202406","85177950","光通信设备的激光收发模块","347548","千克","0","?","579,876,291",
"202407","85177950","光通信设备的激光收发模块","331285","千克","0","?","528,174,848",
"202408","85177950","光通信设备的激光收发模块","353987","千克","0","?","515,838,158",
"202409","85177950","光通信设备的激光收发模块","338059","千克","0","?","505,605,485",
"202410","85177950","光通信设备的激光收发模块","341862","千克","0","?","531,661,207",
"202411","85177950","光通信设备的激光收发模块","365072","千克","0","?","567,232,563",
"202412","85177950","光通信设备的激光收发模块","369744","千克","0","?","544,019,645",
