link_id,公司,公司代码,产品线,速率档,HS编码,出口相关性(直接/间接/无),去向佐证(伙伴国),证据锚点,备注
LNK001,中际旭创,300308.SZ,100G-QSFP28,100G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.innolight.com/en/goods/solution.html,目录记录INN-01与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK002,中际旭创,300308.SZ,200G-QSFP56,200G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.innolight.com/en/goods/solution.html,目录记录INN-02与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK003,中际旭创,300308.SZ,400G-QSFP56-DD,400G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.innolight.com/en/goods/solution.html,目录记录INN-03与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK004,中际旭创,300308.SZ,400G-QSFP112,400G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.innolight.com/en/goods/solution.html,目录记录INN-04与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK005,中际旭创,300308.SZ,400G-OSFP56,400G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.innolight.com/en/goods/solution.html,目录记录INN-05与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK006,中际旭创,300308.SZ,400G-OSFP112,400G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.innolight.com/en/goods/solution.html,目录记录INN-06与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK007,中际旭创,300308.SZ,800G-QSFP112-DD,800G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.innolight.com/en/goods/solution.html,目录记录INN-07与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK008,中际旭创,300308.SZ,800G-OSFP224,800G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.innolight.com/en/goods/solution.html,目录记录INN-08与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK009,中际旭创,300308.SZ,800G-OSFP112,800G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.innolight.com/en/goods/solution.html,目录记录INN-09与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK010,中际旭创,300308.SZ,1.6T-OSFP224,1.6T,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.innolight.com/en/goods/solution.html,目录记录INN-10与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK011,新易盛,300502.SZ,400G Coherent QSFP56-DD,400G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.eoptolink.com/product-solutions/400g,目录记录EO-01与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK012,新易盛,300502.SZ,400G QSFP56-DD,400G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.eoptolink.com/product-solutions/400g,目录记录EO-02与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK013,新易盛,300502.SZ,400G QSFP112,400G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.eoptolink.com/product-solutions/400g,目录记录EO-04与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK014,新易盛,300502.SZ,400G LPO QSFP112,400G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.eoptolink.com/product-solutions/400g,目录记录EO-05与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK015,新易盛,300502.SZ,400G OSFP,400G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.eoptolink.com/product-solutions/400g,目录记录EO-06与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK016,新易盛,300502.SZ,800G LPO OSFP,800G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.eoptolink.com/product-solutions/800g,目录记录EO-07与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK017,新易盛,300502.SZ,800G LPO QSFP-DD800,800G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.eoptolink.com/product-solutions/800g,目录记录EO-08与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
LNK018,新易盛,300502.SZ,800G OSFP,800G,85177950,直接,,海关商品名“光通信设备的激光收发模块”（HS 85177950；数据：flows/out/customs-partners.csv） | 产品目录页：https://www.eoptolink.com/product-solutions/800g,目录记录EO-09与HS商品名的产品级连接；海关数据不分公司，不代表该公司出口事实、出口份额或具体去向。
